"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","14.420","14.360","14.420","14.360","48.90K","0.42%"
"04/04/2023","14.360","14.360","14.360","14.360","9.10K","-0.28%"
"04/03/2023","14.400","14.340","14.400","14.340","618.50K","0.42%"
"03/31/2023","14.340","14.380","14.400","14.340","2.00K","-0.42%"
"03/30/2023","14.400","14.340","14.400","14.340","11.20K","0.42%"
"03/29/2023","14.340","14.340","14.400","14.340","6.20K","0.00%"
"03/28/2023","14.340","14.340","14.380","14.340","41.10K","0.00%"
"03/27/2023","14.340","14.340","14.340","14.340","50.20K","0.00%"
"03/24/2023","14.340","14.340","14.340","14.340","132.90K","0.00%"
"03/23/2023","14.340","14.340","14.340","14.300","249.90K","0.00%"
"03/22/2023","14.340","14.300","14.340","14.300","70.50K","0.14%"
"03/21/2023","14.320","14.300","14.320","14.300","450.00K","0.14%"
"03/20/2023","14.300","14.320","14.320","14.300","402.60K","0.00%"
"03/17/2023","14.300","14.300","14.320","14.280","141.40K","0.00%"
"03/16/2023","14.300","14.280","14.300","14.260","358.10K","0.14%"
"03/15/2023","14.280","14.280","14.280","14.260","278.50K","0.00%"
"03/14/2023","14.280","14.260","14.280","14.240","630.70K","0.28%"
"03/13/2023","14.240","14.260","14.260","14.240","1.13M","0.00%"
"03/10/2023","14.240","14.240","14.260","14.240","1.08M","0.00%"
"03/09/2023","14.240","14.240","14.280","14.240","206.10K","0.14%"
"03/08/2023","14.220","14.260","14.260","14.220","256.30K","-0.28%"
"03/07/2023","14.260","14.260","14.400","14.200","3.14M","22.51%"
"03/03/2023","11.640","10.800","12.200","10.500","804.60K","6.79%"
"03/02/2023","10.900","9.650","13.000","9.650","2.88M","19.78%"
"02/28/2023","9.100","7.800","9.150","7.800","1.13M","17.88%"
"02/27/2023","7.720","6.820","7.720","6.820","535.20K","10.29%"
"02/24/2023","7.000","7.250","7.250","6.850","52.30K","0.00%"
"02/23/2023","7.000","7.250","7.250","6.850","52.30K","2.94%"
"02/22/2023","6.800","6.860","7.000","6.800","8.60K","-2.16%"
"02/21/2023","6.950","7.050","7.050","6.860","3.20K","1.31%"
"02/20/2023","6.860","6.850","6.860","6.850","1.50K","0.15%"
"02/17/2023","6.850","6.990","6.990","6.800","14.80K","-2.00%"
"02/16/2023","6.990","7.150","7.150","6.860","5.30K","0.00%"
"02/15/2023","6.990","6.810","6.990","6.800","18.10K","1.30%"
"02/14/2023","6.900","6.820","7.100","6.820","9.70K","1.17%"
"02/13/2023","6.820","7.200","7.200","6.820","11.10K","-2.57%"
"02/10/2023","7.000","7.200","7.200","6.990","39.70K","2.94%"
"02/09/2023","6.800","6.800","6.800","6.800","0.10K","-2.86%"
"02/08/2023","7.000","7.000","7.000","7.000","4.00K","0.00%"
"02/07/2023","7.000","6.990","7.000","6.990","3.90K","0.14%"
"02/06/2023","6.990","6.990","6.990","6.990","0.40K","2.04%"
"02/03/2023","6.850","7.000","7.000","6.850","8.30K","-1.44%"
"02/02/2023","6.950","6.650","6.950","6.650","2.50K","-0.57%"
"02/01/2023","6.990","7.000","7.000","6.580","25.40K","2.19%"
"01/31/2023","6.840","6.610","6.850","6.610","9.30K","-0.87%"
"01/30/2023","6.900","6.760","6.930","6.700","11.70K","2.99%"
"01/27/2023","6.700","6.670","6.760","6.670","11.70K","-1.47%"
"01/26/2023","6.800","6.800","6.800","6.800","1.30K","0.00%"
"01/25/2023","6.800","6.800","6.800","6.700","4.60K","-1.45%"
"01/24/2023","6.900","6.710","6.930","6.710","1.60K","2.83%"
"01/23/2023","6.710","6.710","6.950","6.710","2.70K","0.00%"
"01/20/2023","6.710","6.700","6.710","6.700","6.60K","-0.59%"
"01/19/2023","6.750","6.710","6.750","6.710","6.20K","0.75%"
"01/18/2023","6.700","6.950","6.950","6.700","3.10K","-3.60%"
"01/17/2023","6.950","6.700","6.950","6.700","1.30K","1.02%"
"01/16/2023","6.880","6.970","6.970","6.880","27.60K","-1.29%"
"01/13/2023","6.970","6.800","6.970","6.650","18.40K","-0.43%"
"01/12/2023","7.000","6.650","7.000","6.650","11.10K","5.26%"
"01/11/2023","6.650","6.890","6.890","6.650","8.30K","-3.62%"
"01/10/2023","6.900","7.180","7.180","6.400","15.60K","4.55%"
"01/09/2023","6.600","6.570","6.700","6.410","11.60K","-1.49%"
"01/06/2023","6.700","6.950","6.950","6.700","15.80K","-3.60%"
"01/05/2023","6.950","6.960","6.960","6.950","5.70K","0.00%"
"01/04/2023","6.950","7.230","7.230","6.650","5.50K","6.92%"
"01/03/2023","6.500","7.200","7.200","6.410","12.50K","-10.34%"
"12/29/2022","7.250","7.250","7.250","6.800","0.50K","6.62%"
"12/28/2022","6.800","6.800","6.800","6.800","59.00K","4.62%"
"12/27/2022","6.500","6.980","6.980","6.300","200.30K","-6.88%"
"12/23/2022","6.980","7.140","7.140","6.980","0.30K","0.00%"
"12/22/2022","6.980","6.980","6.980","6.980","0.10K","-0.14%"
"12/21/2022","6.990","7.000","7.000","6.990","0.40K","5.91%"
"12/20/2022","6.600","6.600","6.600","6.600","1.80K","-5.71%"
"12/19/2022","7.000","7.380","7.380","7.000","31.00K","6.06%"
"12/16/2022","6.600","6.600","6.600","6.500","63.80K","0.00%"
"12/15/2022","6.600","6.600","6.600","6.600","9.00K","0.00%"
