"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2021","0.0046","0.0057","0.0071","0.0043","215.45B","-14.81%"
"03/02/2021","0.0054","0.0036","0.0054","0.0036","122.74B","50.00%"
"03/01/2021","0.0036","0.0035","0.0036","0.0033","5.89B","5.88%"
"02/26/2021","0.0034","0.0033","0.0036","0.0032","9.59B","0.00%"
"02/24/2021","0.0034","0.0038","0.0038","0.0032","29.68B","-12.82%"
"02/23/2021","0.0039","0.0039","0.0042","0.0036","20.39B","-2.50%"
"02/22/2021","0.0040","0.0043","0.0043","0.0039","12.50B","-6.98%"
"02/19/2021","0.0043","0.0044","0.0045","0.0041","11.53B","-2.27%"
"02/18/2021","0.0044","0.0043","0.0045","0.0041","10.72B","2.33%"
"02/17/2021","0.0043","0.0046","0.0046","0.0043","10.89B","-8.51%"
"02/16/2021","0.0047","0.0048","0.0049","0.0044","17.53B","-4.08%"
"02/15/2021","0.0049","0.0052","0.0053","0.0049","10.69B","-3.92%"
"02/11/2021","0.0051","0.0050","0.0054","0.0050","15.79B","2.00%"
"02/10/2021","0.0050","0.0051","0.0052","0.0047","21.31B","-1.96%"
"02/09/2021","0.0051","0.0052","0.0054","0.0049","22.44B","-3.77%"
"02/08/2021","0.0053","0.0057","0.0057","0.0050","24.35B","-8.62%"
"02/05/2021","0.0058","0.0060","0.0061","0.0058","10.56B","-1.69%"
"02/04/2021","0.0059","0.0058","0.0062","0.0056","26.56B","1.72%"
"02/03/2021","0.0058","0.0056","0.0058","0.0054","22.99B","5.45%"
"02/02/2021","0.0055","0.0056","0.0064","0.0052","48.12B","0.00%"
"02/01/2021","0.0055","0.0051","0.0056","0.0050","24.38B","12.24%"
"01/29/2021","0.0049","0.0051","0.0055","0.0047","34.24B","-3.92%"
"01/28/2021","0.0051","0.0058","0.0063","0.0050","46.18B","-15.00%"
"01/27/2021","0.0060","0.0042","0.0063","0.0041","85.44B","20.00%"
"01/26/2021","0.0050","0.0062","0.0064","0.0050","59.52B","-29.58%"
"01/25/2021","0.0071","0.0072","0.0080","0.0068","70.35B","5.97%"
"01/22/2021","0.0067","0.0055","0.0072","0.0042","118.39B","11.67%"
"01/21/2021","0.0060","0.0074","0.0089","0.0060","78.25B","-29.41%"
"01/20/2021","0.0085","0.0120","0.0130","0.0081","79.54B","-22.73%"
