"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","4.0800","4.1500","4.1500","4.0800","1.34M","-0.49%"
"04/04/2023","4.1000","4.0300","4.1100","4.0300","3.58M","2.50%"
"04/03/2023","4.0000","4.1000","4.1200","4.0000","7.66M","-2.44%"
"03/31/2023","4.1000","4.1600","4.1600","4.0900","611.00K","0.24%"
"03/30/2023","4.0900","4.1400","4.2000","4.0100","1.23M","-0.97%"
"03/29/2023","4.1300","4.1000","4.1300","4.0500","1.41M","3.25%"
"03/28/2023","4.0000","4.0800","4.0800","3.9700","3.35M","-2.44%"
"03/27/2023","4.1000","4.0600","4.1300","4.0400","1.02M","-0.97%"
"03/24/2023","4.1400","4.1100","4.1400","4.0500","585.00K","0.73%"
"03/23/2023","4.1100","4.0900","4.1500","4.0900","1.66M","-0.24%"
"03/22/2023","4.1200","4.1000","4.1800","4.0600","777.00K","0.49%"
"03/21/2023","4.1000","4.1200","4.2800","4.0800","1.97M","-1.20%"
"03/20/2023","4.1500","4.3300","4.3400","4.1300","495.00K","1.22%"
"03/17/2023","4.1000","4.1300","4.2900","4.0500","1.72M","-0.49%"
"03/16/2023","4.1200","4.1700","4.1900","4.0400","2.28M","-1.20%"
"03/15/2023","4.1700","4.1600","4.2400","4.1500","415.00K","-0.24%"
"03/14/2023","4.1800","4.1900","4.1900","4.1500","331.00K","-0.24%"
"03/13/2023","4.1900","4.3000","4.3000","4.1600","491.00K","-0.71%"
"03/10/2023","4.2200","4.2000","4.2500","4.1600","743.00K","0.48%"
"03/09/2023","4.2000","4.1800","4.2900","4.1800","1.20M","0.48%"
"03/08/2023","4.1800","4.2600","4.3100","4.1800","1.81M","-3.02%"
"03/07/2023","4.3100","4.3900","4.4300","4.3100","461.00K","-1.15%"
"03/06/2023","4.3600","4.3600","4.4000","4.3400","391.00K","0.00%"
"03/03/2023","4.3600","4.4700","4.4700","4.3500","3.80M","0.00%"
"03/02/2023","4.3600","4.3000","4.4900","4.3000","611.00K","1.40%"
"03/01/2023","4.3000","4.2400","4.3100","4.2000","6.50M","3.12%"
"02/28/2023","4.1700","4.3700","4.5400","4.1700","34.89M","-4.58%"
"02/27/2023","4.3700","4.5500","4.5500","4.3500","5.41M","-2.89%"
"02/24/2023","4.5000","4.5000","4.5000","4.4900","4.85M","0.00%"
"02/23/2023","4.5000","4.5000","4.5000","4.4900","4.85M","0.00%"
"02/22/2023","4.5000","4.5500","4.5500","4.4800","1.79M","-1.10%"
"02/21/2023","4.5500","4.7300","4.7300","4.5100","3.60M","-2.78%"
"02/20/2023","4.6800","4.6700","4.7700","4.6500","3.09M","-1.27%"
"02/17/2023","4.7400","4.8500","4.8500","4.7000","6.92M","-1.25%"
"02/16/2023","4.8000","4.8900","4.8900","4.7500","3.18M","-2.04%"
"02/15/2023","4.9000","4.8900","4.9900","4.8900","1.27M","0.00%"
"02/14/2023","4.9000","4.9500","4.9600","4.9000","360.00K","-1.21%"
"02/13/2023","4.9600","4.9700","4.9700","4.8500","458.00K","-0.20%"
"02/10/2023","4.9700","4.9700","4.9800","4.9100","551.00K","0.00%"
"02/09/2023","4.9700","4.9000","4.9900","4.9000","2.92M","1.84%"
"02/08/2023","4.8800","4.8700","4.8800","4.8400","1.47M","0.21%"
"02/07/2023","4.8700","4.8200","4.8700","4.7500","1.96M","1.25%"
"02/06/2023","4.8100","4.8100","4.8600","4.8000","3.05M","0.00%"
"02/03/2023","4.8100","4.8400","4.8900","4.8000","967.00K","-1.23%"
"02/02/2023","4.8700","4.7700","4.8900","4.7700","1.48M","1.46%"
"02/01/2023","4.8000","4.6900","4.8000","4.6900","2.15M","2.35%"
"01/31/2023","4.6900","4.6900","4.6900","4.6500","3.33M","0.86%"
"01/30/2023","4.6500","4.6500","4.6900","4.6400","1.74M","0.00%"
"01/27/2023","4.6500","4.5700","4.6700","4.5700","1.18M","1.53%"
"01/26/2023","4.5800","4.5700","4.5900","4.5400","386.00K","0.22%"
"01/25/2023","4.5700","4.6000","4.6100","4.5600","174.00K","-0.44%"
"01/24/2023","4.5900","4.5200","4.5900","4.5200","315.00K","0.00%"
"01/23/2023","4.5900","4.6300","4.6500","4.4900","1.79M","-1.29%"
"01/20/2023","4.6500","4.7000","4.7500","4.6500","163.00K","-2.52%"
"01/19/2023","4.7700","4.6400","4.8000","4.6100","1.39M","0.21%"
"01/18/2023","4.7600","4.7800","4.7800","4.6700","361.00K","0.00%"
