"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","0.97","0.89","0.97","0.88","14.43M","7.78%"
"04/04/2023","0.90","0.92","0.92","0.88","25.61M","-2.17%"
"04/03/2023","0.92","0.95","0.95","0.91","11.42M","-3.16%"
"03/31/2023","0.95","0.94","0.95","0.93","5.36M","0.00%"
"03/30/2023","0.95","0.97","0.97","0.93","3.79M","-1.04%"
"03/29/2023","0.96","0.95","0.96","0.92","12.98M","1.05%"
"03/28/2023","0.95","0.98","0.99","0.93","12.12M","-3.06%"
"03/27/2023","0.98","1.00","1.00","0.97","6.09M","-1.01%"
"03/24/2023","0.99","0.99","1.00","0.98","17.56M","-1.00%"
"03/23/2023","1.00","1.00","1.00","0.97","8.92M","0.00%"
"03/22/2023","1.00","0.98","1.00","0.96","7.44M","2.04%"
"03/21/2023","0.98","1.00","1.01","0.97","19.95M","-1.01%"
"03/20/2023","0.99","0.98","1.01","0.96","25.19M","1.02%"
"03/17/2023","0.98","0.93","0.98","0.92","22.53M","8.89%"
"03/16/2023","0.90","1.01","1.01","0.88","321.64M","-10.89%"
"03/15/2023","1.01","0.98","1.02","0.97","34.79M","3.06%"
"03/14/2023","0.98","1.10","1.10","0.94","105.44M","-10.91%"
"03/13/2023","1.10","1.09","1.10","1.08","60.70M","0.00%"
"03/10/2023","1.10","1.05","1.10","1.04","83.91M","2.80%"
"03/09/2023","1.07","1.05","1.07","1.04","64.89M","1.90%"
"03/08/2023","1.05","1.02","1.05","1.00","50.68M","0.96%"
"03/07/2023","1.04","1.04","1.05","1.01","36.61M","0.00%"
"03/06/2023","1.04","1.00","1.04","0.99","57.07M","2.97%"
"03/03/2023","1.01","1.00","1.02","1.00","60.94M","1.00%"
"03/02/2023","1.00","0.98","1.00","0.95","111.40M","2.04%"
"03/01/2023","0.98","0.99","1.00","0.97","61.77M","-1.01%"
"02/28/2023","0.99","0.93","0.99","0.92","141.23M","6.45%"
"02/27/2023","0.93","0.86","0.93","0.86","118.31M","6.90%"
"02/24/2023","0.87","0.84","0.87","0.84","32.75M","0.00%"
"02/23/2023","0.87","0.84","0.87","0.84","32.75M","3.57%"
