"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","16.54","16.70","16.76","16.50","13.20K","0.24%"
"04/04/2023","16.50","16.50","16.80","16.50","36.90K","-0.36%"
"04/03/2023","16.56","16.62","16.80","16.48","33.90K","-0.24%"
"03/31/2023","16.60","16.22","16.60","16.00","117.70K","2.34%"
"03/30/2023","16.22","16.36","16.36","16.20","39.40K","-0.86%"
"03/29/2023","16.36","16.60","16.60","16.36","37.80K","-0.49%"
"03/28/2023","16.44","16.50","16.58","16.44","42.50K","0.00%"
"03/27/2023","16.44","16.40","16.60","16.40","50.60K","0.86%"
"03/24/2023","16.30","15.98","16.40","15.80","33.90K","2.00%"
"03/23/2023","15.98","16.02","16.10","15.78","300.30K","-0.13%"
"03/22/2023","16.00","16.00","16.08","15.98","312.40K","0.13%"
"03/21/2023","15.98","16.00","16.04","15.98","210.00K","0.00%"
"03/20/2023","15.98","16.46","16.46","15.90","228.50K","-1.60%"
"03/17/2023","16.24","16.00","16.48","16.00","150.10K","2.65%"
"03/16/2023","15.82","16.46","16.46","15.36","632.70K","-4.00%"
"03/15/2023","16.48","16.70","16.72","16.40","234.30K","-1.32%"
"03/14/2023","16.70","16.90","16.90","16.62","195.30K","-1.18%"
"03/13/2023","16.90","16.94","17.20","16.90","354.60K","-0.24%"
"03/10/2023","16.94","17.24","17.24","16.92","192.50K","-1.74%"
"03/09/2023","17.24","17.24","17.24","17.08","67.80K","0.00%"
"03/08/2023","17.24","17.54","17.60","17.22","128.60K","-1.71%"
"03/07/2023","17.54","17.80","17.80","17.28","12.10K","1.86%"
"03/06/2023","17.22","17.40","17.52","17.18","169.90K","-1.03%"
"03/03/2023","17.40","17.26","17.40","16.96","409.40K","1.87%"
"03/02/2023","17.08","17.20","17.30","17.04","46.60K","0.23%"
"03/01/2023","17.04","17.26","17.28","17.04","124.00K","-1.27%"
"02/28/2023","17.26","17.06","17.30","17.04","279.10K","1.17%"
"02/27/2023","17.06","17.20","17.20","17.00","246.50K","-1.39%"
"02/24/2023","17.30","17.78","17.78","17.22","432.30K","0.00%"
"02/23/2023","17.30","17.78","17.78","17.22","432.30K","-2.70%"
"02/22/2023","17.78","18.00","18.00","17.70","259.80K","-1.22%"
"02/21/2023","18.00","18.06","18.08","17.98","162.80K","-0.22%"
"02/20/2023","18.04","18.10","18.14","18.02","51.50K","0.11%"
"02/17/2023","18.02","18.12","18.24","18.00","379.70K","-0.55%"
"02/16/2023","18.12","18.12","18.12","18.04","120.10K","0.11%"
"02/15/2023","18.10","18.26","18.26","18.10","146.80K","-0.88%"
"02/14/2023","18.26","18.06","18.48","18.06","742.20K","1.11%"
"02/13/2023","18.06","18.12","18.12","18.04","301.00K","0.22%"
"02/10/2023","18.02","18.10","18.20","18.02","151.00K","-0.88%"
"02/09/2023","18.18","18.10","18.34","18.08","128.20K","0.44%"
"02/08/2023","18.10","18.38","18.40","18.10","228.50K","-1.52%"
"02/07/2023","18.38","18.04","18.38","18.04","158.70K","1.88%"
"02/06/2023","18.04","18.00","18.20","18.00","103.50K","0.22%"
"02/03/2023","18.00","18.20","18.20","18.00","68.90K","-0.55%"
"02/02/2023","18.10","18.00","18.20","17.86","84.60K","1.91%"
"02/01/2023","17.76","17.58","17.82","17.58","142.60K","1.02%"
"01/31/2023","17.58","18.00","18.00","17.50","376.80K","-2.44%"
"01/30/2023","18.02","18.40","18.40","18.00","426.20K","-2.17%"
"01/27/2023","18.42","18.38","18.44","18.30","53.70K","0.11%"
