"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","62.000","60.600","62.000","60.600","155.01K","2.48%"
"04/04/2023","60.500","60.600","60.700","60.500","14.45K","-0.17%"
"04/03/2023","60.600","60.700","61.450","60.600","25.46K","-0.16%"
"03/31/2023","60.700","60.800","61.500","60.700","7.70K","-2.10%"
"03/30/2023","62.000","62.000","62.000","62.000","0.19K","1.97%"
"03/29/2023","60.800","60.850","62.000","60.800","1.37K","-0.41%"
"03/28/2023","61.050","62.500","62.500","60.700","25.98K","-2.32%"
"03/27/2023","62.500","60.500","62.500","60.500","46.51K","3.31%"
"03/24/2023","60.500","60.500","62.000","60.500","28.22K","0.00%"
"03/23/2023","60.500","62.000","62.000","60.500","14.14K","-2.42%"
"03/22/2023","62.000","62.000","62.000","62.000","0.02K","0.00%"
"03/21/2023","62.000","61.000","62.000","61.000","2.05K","1.64%"
"03/20/2023","61.000","62.000","62.000","61.000","22.81K","-0.33%"
"03/17/2023","61.200","62.200","62.200","61.200","16.72K","-0.49%"
"03/16/2023","61.500","62.200","62.200","61.500","43.40K","-0.57%"
"03/15/2023","61.850","62.200","62.200","61.850","1.19K","0.00%"
"03/14/2023","61.850","61.950","61.950","61.850","68.01K","-0.16%"
"03/13/2023","61.950","62.150","62.200","61.900","241.88K","-0.40%"
"03/10/2023","62.200","61.950","62.200","61.950","31.03K","0.40%"
"03/09/2023","61.950","61.950","62.000","61.950","6.35K","0.00%"
"03/08/2023","61.950","61.950","62.400","61.900","51.07K","-0.08%"
"03/07/2023","62.000","62.500","62.500","62.000","2.98K","-1.27%"
"03/06/2023","62.800","61.900","62.900","61.900","7.32K","1.45%"
"03/03/2023","61.900","61.850","62.900","61.850","25.46K","0.08%"
"03/02/2023","61.850","61.850","61.900","61.850","12.96K","0.00%"
"03/01/2023","61.850","61.900","61.900","61.850","1.54K","0.00%"
"02/28/2023","61.850","62.000","62.000","61.850","50.46K","-1.20%"
"02/27/2023","62.600","62.500","63.000","62.500","1.15K","0.16%"
"02/24/2023","62.500","61.900","63.000","61.900","4.53K","0.00%"
"02/23/2023","62.500","61.900","63.000","61.900","4.53K","0.97%"
"02/22/2023","61.900","61.950","61.950","61.900","11.12K","-0.08%"
"02/21/2023","61.950","63.200","63.200","61.950","256.81K","0.00%"
"02/20/2023","61.950","62.050","62.050","61.900","12.49K","-0.16%"
"02/17/2023","62.050","62.800","62.800","62.050","108.43K","-1.19%"
"02/16/2023","62.800","62.750","63.000","62.750","19.09K","-0.24%"
"02/15/2023","62.950","63.000","63.000","62.750","12.12K","0.32%"
"02/14/2023","62.750","62.900","63.000","62.750","11.64K","-0.08%"
"02/13/2023","62.800","63.000","63.000","62.800","79.58K","0.00%"
"02/10/2023","62.800","63.000","63.100","62.800","17.84K","-0.16%"
"02/09/2023","62.900","63.000","64.500","62.900","84.82K","-0.16%"
"02/08/2023","63.000","64.500","64.500","62.950","4.30K","0.08%"
"02/07/2023","62.950","63.200","63.200","62.950","53.24K","0.00%"
"02/06/2023","62.950","63.100","63.100","62.900","29.92K","0.00%"
"02/03/2023","62.950","62.900","63.000","62.900","17.23K","0.08%"
"02/02/2023","62.900","63.100","63.250","62.900","103.15K","-0.32%"
"02/01/2023","63.100","64.500","64.500","63.000","9.12K","0.16%"
"01/31/2023","63.000","63.050","63.550","63.000","14.56K","0.00%"
"01/27/2023","63.000","63.150","63.200","63.000","19.26K","-0.24%"
"01/26/2023","63.150","64.500","64.500","63.100","9.42K","-2.09%"
"01/25/2023","64.500","64.550","65.800","64.400","37.73K","0.00%"
"01/24/2023","64.500","64.500","65.000","63.150","21.47K","2.14%"
"01/23/2023","63.150","63.050","64.500","63.050","7.02K","0.24%"
"01/20/2023","63.000","64.500","64.500","63.000","0.46K","0.16%"
"01/19/2023","62.900","62.550","63.450","62.550","2.36K","0.56%"
"01/18/2023","62.550","64.400","64.500","62.300","3.04K","-2.27%"
"01/17/2023","64.000","64.000","64.500","62.250","5.44K","2.24%"
"01/16/2023","62.600","62.100","64.300","62.100","24.38K","0.56%"
"01/13/2023","62.250","62.800","64.000","61.200","38.17K","0.24%"
"01/12/2023","62.100","62.050","62.100","62.000","25.43K","1.72%"
"01/11/2023","61.050","61.000","62.000","61.000","23.07K","0.08%"
"01/10/2023","61.000","60.900","61.900","60.800","17.45K","0.16%"
"01/09/2023","60.900","60.600","61.000","60.600","5.19K","0.50%"
"01/06/2023","60.600","60.500","60.700","60.250","10.71K","0.92%"
"01/05/2023","60.050","61.000","61.000","60.000","24.83K","0.08%"
"01/04/2023","60.000","60.350","60.400","60.000","33.60K","-0.50%"
"01/03/2023","60.300","60.500","60.500","59.500","38.43K","-0.41%"
"12/29/2022","60.550","60.900","60.900","60.550","2.67K","-0.57%"
"12/28/2022","60.900","60.550","60.900","60.550","2.40K","-0.08%"
"12/27/2022","60.950","61.000","61.000","60.950","0.35K","0.74%"
"12/23/2022","60.500","61.000","61.000","60.500","1.16K","0.00%"
"12/22/2022","60.500","60.800","60.800","60.500","5.51K","0.50%"
"12/21/2022","60.200","60.450","61.600","60.200","7.17K","-0.41%"
"12/20/2022","60.450","61.900","61.900","60.450","5.65K","-1.55%"
"12/19/2022","61.400","60.100","61.900","60.100","3.68K","2.16%"
"12/16/2022","60.100","60.050","60.100","60.050","10.02K","0.08%"
"12/15/2022","60.050","60.400","60.400","60.000","7.47K","-0.58%"
"12/14/2022","60.400","60.650","60.850","60.400","11.83K","-1.63%"
"12/13/2022","61.400","61.500","61.500","60.650","6.09K","1.24%"
"12/12/2022","60.650","61.750","61.750","60.650","3.24K","-0.16%"
"12/09/2022","60.750","60.750","60.750","60.750","8.22K","-1.86%"
"12/07/2022","61.900","60.800","62.000","60.650","7.78K","1.81%"
"12/06/2022","60.800","61.900","62.300","60.000","4.02M","-1.78%"
"12/05/2022","61.900","62.450","62.450","61.800","11.28K","0.16%"
"12/02/2022","61.800","62.000","62.850","61.750","7.43K","-0.32%"
"12/01/2022","62.000","62.400","62.400","61.500","1.81K","0.57%"
"11/29/2022","61.650","61.500","62.000","61.500","2.59K","-0.56%"
"11/28/2022","62.000","62.850","62.850","61.500","1.86K","-0.80%"
"11/25/2022","62.500","62.000","62.500","60.800","25.68K","0.81%"
"11/24/2022","62.000","62.300","62.300","61.000","13.35K","-0.48%"
"11/23/2022","62.300","59.900","65.850","59.800","70.58K","4.18%"
"11/22/2022","59.800","61.950","62.400","58.000","69.87K","-2.29%"
"11/21/2022","61.200","61.200","62.700","61.200","11.73K","0.08%"
"11/18/2022","61.150","61.100","62.700","61.100","2.27K","0.00%"
"11/17/2022","61.150","61.250","61.250","61.000","42.45K","-0.16%"
"11/16/2022","61.250","62.950","62.950","61.000","4.85K","-2.70%"
"11/15/2022","62.950","60.050","63.000","60.050","7.21K","4.83%"
"11/14/2022","60.050","60.000","60.050","60.000","6.72K","0.25%"
"11/11/2022","59.900","59.900","60.500","59.900","9.88K","0.00%"
"11/10/2022","59.900","60.000","60.000","59.850","10.47K","-0.17%"
"11/09/2022","60.000","61.000","61.500","60.000","5.44K","0.33%"
"11/08/2022","59.800","61.500","61.500","59.800","47.92K","-0.99%"
"11/07/2022","60.400","60.400","61.900","60.400","7.76K","0.00%"
"11/04/2022","60.400","60.400","60.400","60.400","0.69K","0.00%"
"11/03/2022","60.400","60.550","60.550","60.400","4.07K","-0.25%"
"11/02/2022","60.550","61.900","61.900","60.400","0.96K","0.00%"
"10/27/2022","60.550","61.000","61.900","60.550","5.89K","0.75%"
"10/26/2022","60.100","61.900","61.900","60.050","6.88K","-2.91%"
"10/25/2022","61.900","60.050","61.900","60.050","1.62K","3.00%"
"10/24/2022","60.100","60.000","63.000","60.000","3.66K","0.00%"
"10/21/2022","60.100","60.150","60.150","60.100","25.11K","-0.08%"
"10/20/2022","60.150","60.300","60.300","60.150","21.11K","-0.08%"
"10/19/2022","60.200","60.250","60.500","60.200","2.47K","-1.31%"
"10/18/2022","61.000","63.000","63.000","61.000","0.61K","-3.17%"
"10/17/2022","63.000","60.150","63.000","60.150","1.78K","4.74%"
"10/14/2022","60.150","60.100","61.000","60.100","2.24K","0.08%"
"10/13/2022","60.100","60.100","61.000","60.100","0.45K","0.00%"
"10/12/2022","60.100","60.100","61.000","60.100","1.07K","-0.17%"
"10/11/2022","60.200","60.200","61.000","60.100","3.03K","0.00%"
"10/10/2022","60.200","62.000","62.000","60.100","23.80K","0.00%"
"10/07/2022","60.200","60.000","60.400","60.000","16.35K","0.25%"
"10/06/2022","60.050","61.000","61.100","60.050","50.11K","-1.56%"
"10/05/2022","61.000","61.350","61.350","61.000","15.11K","-0.16%"
"10/04/2022","61.100","61.300","61.300","61.000","8.28K","-0.33%"
"10/03/2022","61.300","61.500","61.550","61.300","50.08K","-0.33%"
"09/30/2022","61.500","62.000","62.000","61.500","21.40K","-0.81%"
"09/29/2022","62.000","62.050","62.050","61.500","74.77K","-0.08%"
"09/28/2022","62.050","62.050","62.050","62.050","3.15K","-1.51%"
"09/27/2022","63.000","63.200","63.200","62.000","65.84K","-0.32%"
"09/23/2022","63.200","63.200","63.250","63.150","18.55K","0.08%"
"09/22/2022","63.150","63.700","63.700","63.150","23.51K","-0.86%"
"09/21/2022","63.700","64.000","64.000","63.700","23.95K","-0.47%"
"09/20/2022","64.000","64.000","64.000","63.800","7.71K","0.00%"
"09/19/2022","64.000","65.000","65.000","64.000","10.92K","0.00%"
"09/16/2022","64.000","64.900","64.900","63.800","6.00K","0.31%"
"09/15/2022","63.800","64.900","64.900","63.700","29.81K","-0.31%"
"09/14/2022","64.000","64.000","64.000","63.700","10.18K","0.00%"
"09/13/2022","64.000","63.500","65.000","63.500","6.43K","0.00%"
"09/12/2022","64.000","63.500","64.500","63.500","2.15K","0.79%"
"09/09/2022","63.500","64.500","64.500","63.500","31.46K","-0.78%"
"09/08/2022","64.000","64.300","64.500","64.000","17.53K","-0.47%"
"09/07/2022","64.300","65.000","65.000","64.300","0.76K","-0.23%"
"09/06/2022","64.450","64.500","64.500","64.450","15.12K","-0.08%"
"09/05/2022","64.500","64.650","64.650","64.500","17.05K","-0.15%"
"09/02/2022","64.600","65.250","65.250","64.600","6.56K","-1.00%"
"09/01/2022","65.250","65.250","65.550","65.000","3.95K","-0.53%"
"08/31/2022","65.600","65.700","65.800","64.500","3.19K","0.54%"
"08/30/2022","65.250","65.800","65.800","65.250","3.01K","-0.84%"
"08/26/2022","65.800","65.800","65.800","65.800","5.74K","1.62%"
"08/25/2022","64.750","66.000","66.000","64.750","4.74K","0.15%"
"08/24/2022","64.650","64.650","65.500","64.650","3.18K","0.00%"
"08/23/2022","64.650","65.500","65.500","64.650","1.95K","-0.54%"
"08/22/2022","65.000","65.000","65.000","64.900","6.85K","-1.52%"
"08/19/2022","66.000","65.000","66.000","64.650","14.13K","2.09%"
