"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","162.700","163.000","163.000","162.700","0.62K","1.24%"
"04/04/2023","160.700","163.000","163.000","159.000","13.36K","-0.62%"
"04/03/2023","161.700","158.000","163.800","158.000","8.09K","1.70%"
"03/31/2023","159.000","160.000","160.000","156.500","81.49K","-0.63%"
"03/30/2023","160.000","156.500","160.000","156.400","42.06K","2.24%"
"03/29/2023","156.500","156.500","160.000","156.500","53.83K","-2.19%"
"03/28/2023","160.000","163.000","163.000","156.000","22.18K","-1.84%"
"03/27/2023","163.000","163.000","163.000","156.000","10.62K","1.88%"
"03/24/2023","160.000","163.800","163.800","160.000","7.62K","0.95%"
"03/23/2023","158.500","163.800","163.800","156.000","80.78K","-3.35%"
"03/22/2023","164.000","153.100","183.900","153.100","108.66K","6.98%"
"03/21/2023","153.300","152.500","153.300","151.000","20.67K","0.52%"
"03/20/2023","152.500","153.500","154.500","152.000","90.87K","-0.72%"
"03/17/2023","153.600","155.000","155.500","151.100","30.11K","-1.54%"
"03/16/2023","156.000","153.700","158.700","150.000","61.89K","1.96%"
"03/15/2023","153.000","155.000","159.000","152.000","231.21K","-3.16%"
"03/14/2023","158.000","145.000","158.000","141.000","144.27K","8.97%"
"03/13/2023","145.000","153.000","153.500","143.000","170.63K","-3.33%"
"03/10/2023","150.000","140.000","160.000","137.000","400.00K","7.91%"
"03/09/2023","139.000","145.000","145.000","135.100","73.74K","-4.14%"
"03/08/2023","145.000","127.000","145.000","127.000","266.40K","14.17%"
"03/07/2023","127.000","125.000","127.200","125.000","18.62K","1.20%"
"03/06/2023","125.500","127.000","127.000","125.500","1.37K","-1.03%"
"03/03/2023","126.800","130.000","132.000","125.100","9.10K","3.85%"
"03/02/2023","122.100","121.500","132.000","121.000","40.57K","0.91%"
"03/01/2023","121.000","119.500","121.500","119.000","13.21K","1.26%"
"02/28/2023","119.500","119.000","120.000","119.000","2.94K","-0.33%"
"02/27/2023","119.900","120.000","120.000","116.500","3.16K","-0.08%"
"02/24/2023","120.000","120.400","122.200","119.000","4.99K","0.00%"
"02/23/2023","120.000","120.400","122.200","119.000","4.99K","-1.80%"
"02/22/2023","122.200","120.000","122.300","118.300","18.20K","1.83%"
"02/21/2023","120.000","122.800","122.800","119.500","38.52K","-2.28%"
"02/20/2023","122.800","123.300","123.300","120.000","10.36K","-0.41%"
"02/17/2023","123.300","116.000","126.400","113.000","60.50K","8.25%"
"02/16/2023","113.900","117.900","117.900","113.400","3.27K","-3.39%"
"02/15/2023","117.900","118.500","118.500","117.900","8.61K","-0.51%"
"02/14/2023","118.500","112.100","119.500","112.000","98.10K","5.71%"
"02/13/2023","112.100","110.500","116.800","110.500","44.09K","1.63%"
"02/10/2023","110.300","111.900","111.900","110.300","9.33K","-1.25%"
"02/09/2023","111.700","112.500","112.600","111.600","14.67K","-1.15%"
