"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","210.000","210.000","211.800","209.000","521.12K","0.00%"
"04/04/2023","210.000","213.000","213.600","210.000","991.57K","-1.69%"
"04/03/2023","213.600","214.400","217.400","213.400","1.02M","0.09%"
"03/31/2023","213.400","217.000","218.000","212.200","2.00M","-2.11%"
"03/30/2023","218.000","214.200","218.000","214.000","1.06M","1.87%"
"03/29/2023","214.000","215.600","215.600","210.400","435.02K","-0.09%"
"03/28/2023","214.200","211.800","215.800","210.400","1.38M","2.00%"
"03/27/2023","210.000","212.000","212.000","207.200","1.25M","-1.50%"
"03/24/2023","213.200","201.000","213.400","201.000","1.98M","6.07%"
"03/23/2023","201.000","199.800","203.000","199.000","681.97K","0.50%"
"03/22/2023","200.000","202.000","204.000","200.000","625.23K","-0.99%"
"03/21/2023","202.000","197.000","202.000","197.000","1.79M","2.07%"
"03/20/2023","197.900","198.000","200.800","197.100","2.86M","-0.05%"
"03/17/2023","198.000","198.000","199.800","197.300","4.10M","0.00%"
"03/16/2023","198.000","197.700","199.800","197.000","3.39M","0.15%"
"03/15/2023","197.700","195.000","199.800","194.000","3.19M","-1.10%"
"03/14/2023","199.900","207.400","209.000","199.900","3.26M","-3.62%"
"03/13/2023","207.400","211.000","211.400","207.200","1.99M","-2.63%"
"03/10/2023","213.000","210.000","213.000","208.000","1.32M","0.28%"
"03/09/2023","212.400","212.000","216.000","211.000","1.63M","0.66%"
"03/08/2023","211.000","206.000","211.000","205.200","1.44M","1.44%"
"03/07/2023","208.000","208.000","212.600","208.000","1.09M","0.48%"
"03/06/2023","207.000","200.000","207.400","199.600","1.88M","3.50%"
"03/03/2023","200.000","200.000","203.000","198.500","1.72M","0.05%"
"03/02/2023","199.900","200.000","202.800","199.400","1.17M","0.55%"
"03/01/2023","198.800","201.000","203.000","198.200","3.72M","-0.50%"
"02/28/2023","199.800","202.000","206.800","199.800","1.92M","-0.10%"
"02/27/2023","200.000","213.000","213.200","200.000","1.25M","-4.67%"
"02/24/2023","209.800","207.800","209.800","205.000","448.55K","0.00%"
"02/23/2023","209.800","207.800","209.800","205.000","448.55K","0.96%"
"02/22/2023","207.800","207.000","209.600","206.000","524.86K","0.87%"
"02/21/2023","206.000","208.200","208.600","205.000","847.03K","-1.62%"
"02/20/2023","209.400","212.000","213.000","208.000","246.69K","-0.85%"
"02/17/2023","211.200","211.800","212.800","209.200","289.70K","1.05%"
"02/16/2023","209.000","210.000","212.400","209.000","629.98K","-0.48%"
"02/15/2023","210.000","214.800","214.800","208.000","1.04M","-2.23%"
"02/14/2023","214.800","215.000","217.600","214.200","704.04K","-0.09%"
"02/13/2023","215.000","211.000","216.400","211.000","514.68K","0.47%"
"02/10/2023","214.000","211.400","214.000","209.000","508.73K","1.23%"
"02/09/2023","211.400","213.000","214.800","209.000","1.05M","-0.28%"
"02/08/2023","212.000","209.800","213.000","207.200","656.85K","2.61%"
"02/07/2023","206.600","210.000","213.400","206.600","1.27M","-1.62%"
"02/06/2023","210.000","216.000","218.000","209.200","1.54M","-3.67%"
"02/03/2023","218.000","217.800","218.800","207.200","3.15M","0.00%"
"02/02/2023","218.000","215.000","218.000","213.800","1.28M","-0.27%"
"02/01/2023","218.600","208.000","219.800","206.200","2.36M","5.40%"
"01/31/2023","207.400","210.800","210.800","198.600","2.42M","-2.08%"
"01/30/2023","211.800","212.800","213.000","207.000","1.16M","-0.56%"
"01/27/2023","213.000","214.000","216.000","210.800","822.24K","0.95%"
"01/26/2023","211.000","216.600","216.600","211.000","701.29K","-2.59%"
"01/25/2023","216.600","212.000","218.800","209.600","1.63M","2.17%"
"01/24/2023","212.000","216.000","219.000","212.000","455.15K","-1.85%"
"01/23/2023","216.000","217.000","218.000","211.200","416.97K","0.00%"
"01/20/2023","216.000","219.600","219.600","215.000","918.10K","-0.92%"
"01/19/2023","218.000","220.000","220.000","215.400","1.40M","-1.62%"
"01/18/2023","221.600","211.000","221.600","210.200","2.46M","4.92%"
"01/17/2023","211.200","206.800","211.200","206.000","1.90M","0.57%"
