"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","2.010","2.020","2.030","2.010","5.79M","0.00%"
"04/04/2023","2.010","2.020","2.020","2.000","5.08M","-0.50%"
"04/03/2023","2.020","2.010","2.020","2.000","8.27M","1.00%"
"03/31/2023","2.000","2.020","2.020","2.000","4.84M","0.00%"
"03/30/2023","2.000","2.020","2.040","2.000","20.84M","-0.50%"
"03/29/2023","2.010","2.020","2.030","2.000","13.70M","0.00%"
"03/28/2023","2.010","2.010","2.040","2.010","8.77M","0.50%"
"03/27/2023","2.000","2.070","2.070","2.000","25.68M","-3.38%"
"03/24/2023","2.070","2.040","2.070","2.030","16.92M","1.47%"
"03/23/2023","2.040","2.030","2.050","2.000","10.89M","-0.49%"
"03/22/2023","2.050","2.030","2.050","2.020","13.91M","3.02%"
"03/21/2023","1.990","2.000","2.030","1.990","17.82M","-0.50%"
"03/20/2023","2.000","1.980","2.000","1.920","32.22M","2.04%"
"03/17/2023","1.960","1.940","1.980","1.940","49.98M","2.08%"
"03/16/2023","1.920","1.970","1.970","1.910","40.97M","-2.04%"
"03/15/2023","1.960","1.990","2.010","1.960","30.60M","0.00%"
"03/14/2023","1.960","2.020","2.020","1.930","73.44M","-2.97%"
"03/13/2023","2.020","2.010","2.060","1.980","19.45M","0.50%"
"03/10/2023","2.010","1.980","2.020","1.960","55.94M","0.00%"
"03/09/2023","2.010","2.050","2.080","2.010","56.43M","-1.47%"
"03/08/2023","2.040","2.080","2.080","2.030","71.42M","-3.32%"
"03/07/2023","2.110","2.080","2.120","2.080","81.84M","2.93%"
"03/06/2023","2.050","2.010","2.080","2.000","61.55M","3.54%"
"03/03/2023","1.980","2.010","2.020","1.980","119.06M","0.00%"
"03/02/2023","1.980","2.020","2.060","1.980","125.66M","-1.00%"
"03/01/2023","2.000","2.040","2.040","2.000","88.47M","-0.99%"
"02/28/2023","2.020","2.080","2.100","2.020","65.81M","-0.98%"
"02/27/2023","2.040","2.070","2.080","2.020","42.76M","-0.97%"
"02/24/2023","2.060","2.130","2.150","2.050","63.76M","0.00%"
"02/23/2023","2.060","2.130","2.150","2.050","63.76M","-2.83%"
"02/22/2023","2.120","2.150","2.160","2.100","35.18M","-1.40%"
"02/21/2023","2.150","2.200","2.200","2.150","24.41M","-0.46%"
"02/20/2023","2.160","2.220","2.260","2.160","28.60M","-2.70%"
"02/17/2023","2.220","2.270","2.270","2.210","26.04M","-2.20%"
"02/16/2023","2.270","2.260","2.320","2.250","14.45M","0.44%"
"02/15/2023","2.260","2.310","2.310","2.240","32.02M","-2.59%"
"02/14/2023","2.320","2.340","2.370","2.310","20.86M","-0.85%"
"02/13/2023","2.340","2.340","2.390","2.320","18.71M","0.00%"
"02/10/2023","2.340","2.320","2.360","2.320","11.63M","1.30%"
"02/09/2023","2.310","2.380","2.400","2.310","23.11M","-2.53%"
"02/08/2023","2.370","2.300","2.400","2.300","33.65M","3.04%"
"02/07/2023","2.300","2.330","2.350","2.300","23.48M","-0.86%"
"02/06/2023","2.320","2.310","2.380","2.300","116.38M","2.65%"
"02/03/2023","2.260","2.240","2.310","2.220","494.33M","1.35%"
"02/02/2023","2.230","2.220","2.270","2.220","86.59M","0.90%"
"02/01/2023","2.210","2.150","2.230","2.150","72.15M","4.25%"
"01/31/2023","2.120","2.110","2.140","2.110","39.32M","0.00%"
"01/30/2023","2.120","2.200","2.210","2.110","148.15M","-5.78%"
"01/27/2023","2.250","2.250","2.280","2.230","23.52M","0.00%"
"01/26/2023","2.250","2.230","2.300","2.220","39.96M","1.35%"
"01/25/2023","2.220","2.260","2.260","2.210","31.36M","-0.45%"
"01/24/2023","2.230","2.140","2.260","2.110","64.90M","4.69%"
"01/23/2023","2.130","2.130","2.140","2.110","23.74M","0.00%"
"01/20/2023","2.130","2.120","2.130","2.100","12.52M","0.47%"
"01/19/2023","2.120","2.160","2.160","2.100","24.27M","-1.85%"
"01/18/2023","2.160","2.160","2.170","2.140","10.25M","0.00%"
"01/17/2023","2.160","2.180","2.190","2.120","14.52M","0.00%"
"01/16/2023","2.160","2.200","2.220","2.110","49.80M","-0.92%"
"01/13/2023","2.180","2.170","2.200","2.150","42.12M","1.40%"
"01/12/2023","2.150","2.090","2.180","2.090","41.75M","2.87%"
"01/11/2023","2.090","2.070","2.110","2.070","11.18M","0.97%"
"01/10/2023","2.070","2.100","2.120","2.070","21.57M","-1.43%"
"01/09/2023","2.100","2.100","2.130","2.080","23.47M","1.45%"
"01/06/2023","2.070","2.110","2.110","2.070","26.23M","-0.48%"
"01/05/2023","2.080","2.090","2.150","2.060","53.81M","0.48%"
"01/04/2023","2.070","2.050","2.100","2.050","47.59M","0.98%"
"01/03/2023","2.050","2.060","2.120","2.040","16.07M","2.50%"
"12/29/2022","2.000","2.130","2.150","2.000","20.64M","-4.76%"
"12/28/2022","2.100","2.120","2.140","2.100","7.90M","-0.94%"
"12/27/2022","2.120","2.110","2.170","2.100","5.60M","0.47%"
"12/23/2022","2.110","2.130","2.130","2.090","2.55M","-0.94%"
"12/22/2022","2.130","2.130","2.140","2.110","4.26M","0.95%"
"12/21/2022","2.110","2.090","2.130","2.090","6.15M","0.96%"
"12/20/2022","2.090","2.150","2.150","2.070","4.06M","-1.88%"
"12/19/2022","2.130","2.140","2.190","2.070","7.93M","0.47%"
"12/16/2022","2.120","2.150","2.210","2.100","26.76M","-1.85%"
"12/15/2022","2.160","2.180","2.180","2.130","5.61M","-0.92%"
"12/14/2022","2.180","2.240","2.270","2.150","19.36M","-2.24%"
"12/13/2022","2.230","2.260","2.270","2.220","17.71M","-0.45%"
"12/12/2022","2.240","2.270","2.280","2.240","13.98M","-0.88%"
"12/09/2022","2.260","2.280","2.330","2.240","20.29M","-0.88%"
"12/07/2022","2.280","2.240","2.290","2.240","19.38M","1.79%"
"12/06/2022","2.240","2.280","2.280","2.230","6.40M","-1.75%"
"12/05/2022","2.280","2.250","2.290","2.250","3.10M","1.79%"
"12/02/2022","2.240","2.290","2.290","2.220","5.11M","0.00%"
"12/01/2022","2.240","2.250","2.320","2.240","15.46M","0.00%"
"11/29/2022","2.240","2.310","2.310","2.230","19.85M","-3.45%"
"11/28/2022","2.320","2.260","2.330","2.260","13.10M","2.65%"
"11/25/2022","2.260","2.280","2.290","2.250","11.88M","-0.44%"
"11/24/2022","2.270","2.300","2.320","2.250","9.84M","-0.87%"
"11/23/2022","2.290","2.280","2.330","2.270","18.57M","1.33%"
"11/22/2022","2.260","2.250","2.280","2.250","8.84M","1.80%"
"11/21/2022","2.220","2.270","2.290","2.200","8.86M","-1.77%"
"11/18/2022","2.260","2.170","2.290","2.160","34.34M","3.67%"
"11/17/2022","2.180","2.180","2.200","2.150","5.75M","-0.46%"
"11/16/2022","2.190","2.200","2.230","2.180","4.95M","0.92%"
"11/15/2022","2.170","2.120","2.200","2.120","17.75M","2.36%"
"11/14/2022","2.120","2.080","2.140","2.080","16.93M","2.91%"
"11/11/2022","2.060","2.100","2.130","2.050","25.16M","0.00%"
"11/10/2022","2.060","2.040","2.060","2.030","5.72M","1.98%"
"11/09/2022","2.020","2.040","2.070","2.020","24.29M","-1.46%"
"11/08/2022","2.050","2.050","2.080","2.040","5.82M","0.00%"
"11/07/2022","2.050","2.060","2.080","2.040","18.12M","-0.49%"
"11/04/2022","2.060","2.090","2.100","2.050","14.45M","-0.48%"
"11/03/2022","2.070","2.080","2.110","2.060","2.80M","-2.82%"
"11/02/2022","2.130","2.080","2.140","2.080","13.64M","2.40%"
"10/28/2022","2.080","2.120","2.120","2.060","15.98M","-0.48%"
"10/27/2022","2.090","2.080","2.120","2.050","10.24M","1.46%"
"10/26/2022","2.060","2.000","2.060","2.000","8.30M","0.49%"
"10/25/2022","2.050","2.080","2.080","2.050","9.47M","-0.49%"
"10/24/2022","2.060","2.050","2.100","2.040","4.95M","1.48%"
"10/21/2022","2.030","2.040","2.050","2.020","6.71M","2.01%"
"10/20/2022","1.990","2.130","2.150","1.990","48.67M","-5.24%"
"10/19/2022","2.100","2.170","2.170","2.100","2.80M","-1.87%"
"10/18/2022","2.140","2.080","2.160","2.080","17.26M","5.42%"
"10/17/2022","2.030","2.050","2.070","2.020","3.28M","-0.49%"
"10/14/2022","2.040","2.060","2.080","2.040","2.54M","0.00%"
"10/13/2022","2.040","2.000","2.040","1.980","2.85M","2.00%"
"10/12/2022","2.000","2.000","2.020","1.990","1.82M","0.00%"
"10/11/2022","2.000","1.990","2.040","1.980","3.76M","0.50%"
"10/10/2022","1.990","2.040","2.040","1.950","7.68M","-1.97%"
"10/07/2022","2.030","2.060","2.060","2.010","6.58M","-1.46%"
"10/06/2022","2.060","2.060","2.080","2.050","2.49M","0.00%"
"10/05/2022","2.060","2.100","2.130","2.020","5.70M","-0.48%"
"10/04/2022","2.070","2.080","2.120","2.050","10.84M","0.98%"
"10/03/2022","2.050","2.030","2.060","2.010","7.29M","0.49%"
"09/30/2022","2.040","2.080","2.080","2.040","14.36M","-3.32%"
"09/29/2022","2.110","2.100","2.130","2.080","9.22M","2.43%"
"09/28/2022","2.060","2.080","2.140","2.050","13.34M","-0.96%"
"09/27/2022","2.080","2.170","2.170","2.070","14.54M","-4.15%"
"09/23/2022","2.170","2.170","2.200","2.140","11.09M","0.00%"
"09/22/2022","2.170","2.200","2.210","2.160","17.34M","-1.81%"
"09/21/2022","2.210","2.250","2.250","2.200","17.54M","-2.21%"
"09/20/2022","2.260","2.320","2.320","2.240","9.37M","-1.74%"
"09/19/2022","2.300","2.290","2.310","2.210","14.98M","0.88%"
"09/16/2022","2.280","2.320","2.320","2.260","36.94M","-1.72%"
"09/15/2022","2.320","2.340","2.370","2.310","6.38M","0.43%"
"09/14/2022","2.310","2.370","2.370","2.300","26.25M","-4.15%"
"09/13/2022","2.410","2.440","2.440","2.390","9.29M","-2.03%"
"09/12/2022","2.460","2.390","2.460","2.390","4.06M","4.24%"
"09/09/2022","2.360","2.370","2.440","2.350","9.29M","0.43%"
"09/08/2022","2.350","2.400","2.410","2.310","13.95M","-1.26%"
"09/07/2022","2.380","2.510","2.540","2.380","23.06M","-4.80%"
"09/06/2022","2.500","2.460","2.510","2.460","6.66M","1.63%"
"09/05/2022","2.460","2.480","2.500","2.450","7.26M","-0.81%"
"09/02/2022","2.480","2.460","2.510","2.460","7.21M","0.81%"
"09/01/2022","2.460","2.500","2.520","2.460","13.33M","-1.60%"
"08/31/2022","2.500","2.540","2.590","2.500","14.17M","-1.19%"
"08/30/2022","2.530","2.550","2.550","2.490","7.08M","-2.32%"
"08/26/2022","2.590","2.570","2.600","2.540","6.91M","0.78%"
"08/25/2022","2.570","2.580","2.590","2.550","5.60M","-0.39%"
"08/24/2022","2.580","2.550","2.600","2.540","15.85M","1.98%"
"08/23/2022","2.530","2.550","2.550","2.520","9.78M","-1.56%"
"08/22/2022","2.570","2.660","2.660","2.530","13.15M","-3.02%"
"08/19/2022","2.650","2.610","2.650","2.590","12.67M","2.71%"
"08/18/2022","2.580","2.500","2.610","2.500","13.51M","0.78%"
"08/17/2022","2.560","2.570","2.680","2.550","40.48M","0.39%"
"08/16/2022","2.550","2.590","2.620","2.530","24.51M","-0.78%"
"08/15/2022","2.570","2.470","2.590","2.470","19.61M","4.90%"
"08/12/2022","2.450","2.420","2.490","2.420","21.39M","1.24%"
"08/11/2022","2.420","2.350","2.450","2.350","23.19M","5.22%"
"08/10/2022","2.300","2.260","2.340","2.260","5.19M","2.68%"
"08/09/2022","2.240","2.250","2.280","2.230","13.06M","0.45%"
"08/08/2022","2.230","2.290","2.330","2.230","9.47M","-1.33%"
"08/05/2022","2.260","2.370","2.410","2.260","37.02M","-3.42%"
"08/04/2022","2.340","2.360","2.390","2.330","6.83M","0.00%"
"08/03/2022","2.340","2.360","2.400","2.330","14.84M","0.86%"
"08/02/2022","2.320","2.300","2.350","2.300","12.51M","1.75%"
"08/01/2022","2.280","2.310","2.320","2.260","40.79M","0.88%"
"07/29/2022","2.260","2.300","2.330","2.260","5.37M","-1.74%"
"07/28/2022","2.300","2.270","2.330","2.260","11.09M","2.22%"
"07/27/2022","2.250","2.270","2.270","2.230","4.27M","-0.44%"
"07/26/2022","2.260","2.280","2.280","2.230","12.45M","0.00%"
"07/25/2022","2.260","2.240","2.260","2.210","4.63M","0.44%"
"07/22/2022","2.250","2.260","2.270","2.230","8.49M","0.00%"
"07/21/2022","2.250","2.330","2.390","2.250","38.99M","-1.32%"
"07/20/2022","2.280","2.240","2.340","2.240","27.01M","2.24%"
"07/19/2022","2.230","2.210","2.250","2.190","10.68M","2.29%"
"07/18/2022","2.180","2.150","2.220","2.150","9.86M","0.00%"
"07/15/2022","2.180","2.180","2.220","2.160","5.41M","0.46%"
"07/14/2022","2.170","2.180","2.230","2.120","9.15M","-0.46%"
"07/13/2022","2.180","2.290","2.290","2.170","9.99M","-3.54%"
"07/12/2022","2.260","2.260","2.310","2.260","5.26M","0.00%"
"07/11/2022","2.260","2.310","2.310","2.240","9.17M","-2.16%"
"07/08/2022","2.310","2.260","2.320","2.260","18.40M","1.32%"
"07/07/2022","2.280","2.250","2.310","2.230","27.14M","1.79%"
"07/06/2022","2.240","2.160","2.260","2.160","48.12M","4.67%"
"07/05/2022","2.140","2.060","2.150","2.060","18.28M","4.90%"
"07/04/2022","2.040","2.080","2.080","2.030","33.48M","-1.92%"
"07/01/2022","2.080","2.190","2.190","2.070","69.26M","-3.70%"
"06/30/2022","2.160","2.320","2.320","2.160","42.83M","-5.26%"
"06/29/2022","2.280","2.330","2.370","2.280","35.98M","-0.87%"
"06/28/2022","2.300","2.280","2.360","2.260","28.16M","0.88%"
"06/27/2022","2.280","2.250","2.340","2.240","35.48M","3.64%"
"06/24/2022","2.200","2.170","2.270","2.170","53.34M","1.38%"
"06/23/2022","2.170","2.280","2.290","2.150","37.04M","-3.56%"
"06/22/2022","2.250","2.320","2.360","2.250","28.86M","-3.02%"
"06/21/2022","2.320","2.300","2.370","2.300","29.66M","1.75%"
"06/20/2022","2.280","2.310","2.310","2.240","23.43M","0.88%"
"06/17/2022","2.260","2.370","2.370","2.260","16.78M","-4.64%"
"06/16/2022","2.370","2.460","2.490","2.280","32.74M","-1.66%"
"06/15/2022","2.410","2.500","2.510","2.400","16.60M","-2.82%"
"06/14/2022","2.480","2.510","2.580","2.450","16.95M","-1.59%"
"06/13/2022","2.520","2.610","2.610","2.500","10.25M","-3.08%"
"06/10/2022","2.600","2.690","2.690","2.580","14.57M","-3.35%"
"06/09/2022","2.690","2.700","2.700","2.660","5.54M","0.37%"
"06/08/2022","2.680","2.720","2.720","2.670","14.65M","-1.47%"
"06/07/2022","2.720","2.710","2.740","2.700","2.64M","0.74%"
"06/06/2022","2.700","2.770","2.770","2.700","16.10M","-2.53%"
"06/03/2022","2.770","2.790","2.810","2.760","8.17M","-1.07%"
"06/02/2022","2.800","2.780","2.810","2.770","4.83M","0.72%"
"06/01/2022","2.780","2.770","2.810","2.770","3.22M","0.72%"
"05/31/2022","2.760","2.820","2.820","2.740","21.28M","-1.78%"
"05/30/2022","2.810","2.810","2.820","2.770","5.21M","2.18%"
"05/27/2022","2.750","2.740","2.770","2.720","5.43M","0.36%"
"05/26/2022","2.740","2.730","2.770","2.710","4.59M","0.37%"
"05/25/2022","2.730","2.770","2.770","2.730","4.68M","-1.44%"
"05/24/2022","2.770","2.770","2.800","2.740","2.83M","0.00%"
"05/23/2022","2.770","2.830","2.840","2.770","8.79M","-2.81%"
"05/20/2022","2.850","2.840","2.850","2.790","10.54M","0.00%"
"05/19/2022","2.850","2.760","2.850","2.720","37.92M","1.79%"
"05/18/2022","2.800","2.710","2.800","2.690","87.04M","0.00%"
"05/17/2022","2.800","2.750","2.800","2.470","143.66M","2.94%"
"05/16/2022","2.720","2.700","2.750","2.700","4.43M","0.74%"
"05/13/2022","2.700","2.740","2.740","2.680","14.60M","-1.82%"
"05/12/2022","2.750","2.790","2.810","2.720","6.72M","-0.72%"
"05/11/2022","2.770","2.840","2.850","2.760","18.70M","-2.81%"
"05/10/2022","2.850","2.810","2.860","2.700","26.35M","0.71%"
"05/06/2022","2.830","2.850","2.860","2.820","7.00M","-1.39%"
"05/05/2022","2.870","2.900","2.900","2.860","8.84M","-1.03%"
"05/04/2022","2.900","2.780","2.900","2.780","12.78M","3.94%"
"05/02/2022","2.790","2.850","2.850","2.780","9.09M","-2.45%"
"04/29/2022","2.860","2.880","2.880","2.820","8.09M","0.35%"
"04/28/2022","2.850","2.900","2.900","2.850","9.67M","-1.72%"
"04/27/2022","2.900","2.900","2.930","2.880","6.58M","-0.34%"
"04/26/2022","2.910","2.930","2.930","2.900","3.04M","-0.68%"
"04/25/2022","2.930","2.950","2.950","2.890","5.48M","-0.68%"
"04/22/2022","2.950","2.970","2.980","2.930","3.44M","-0.67%"
"04/21/2022","2.970","2.980","2.990","2.940","7.01M","-0.34%"
"04/20/2022","2.980","2.950","2.980","2.940","7.48M","1.02%"
"04/19/2022","2.950","2.950","2.950","2.910","6.44M","0.68%"
"04/18/2022","2.930","2.910","2.950","2.910","2.83M","0.69%"
"04/13/2022","2.910","2.890","2.950","2.890","4.33M","0.34%"
"04/12/2022","2.900","2.950","2.960","2.900","16.21M","-1.69%"
"04/11/2022","2.950","2.950","2.980","2.950","1.74M","0.00%"
"04/08/2022","2.950","2.940","2.990","2.930","19.16M","0.34%"
"04/07/2022","2.940","3.000","3.010","2.940","52.90M","-2.00%"
"04/06/2022","3.000","3.020","3.020","2.990","13.18M","-0.66%"
"04/05/2022","3.020","3.030","3.030","2.990","3.15M","0.33%"
"04/04/2022","3.010","3.000","3.030","2.990","6.28M","1.01%"
"04/01/2022","2.980","3.010","3.060","2.970","21.52M","-1.00%"
"03/31/2022","3.010","3.050","3.050","3.010","24.21M","-1.63%"
"03/30/2022","3.060","3.060","3.060","3.000","18.43M","2.00%"
"03/29/2022","3.000","3.040","3.070","2.990","17.64M","-0.33%"
"03/28/2022","3.010","3.100","3.100","3.000","13.10M","-1.31%"
"03/25/2022","3.050","3.100","3.100","3.050","7.53M","-1.61%"
"03/24/2022","3.100","3.050","3.100","3.050","2.76M","1.64%"
"03/23/2022","3.050","3.060","3.110","3.040","2.55M","0.00%"
"03/22/2022","3.050","3.080","3.080","3.030","7.84M","0.00%"
"03/21/2022","3.050","3.110","3.140","3.050","7.99M","-3.17%"
"03/18/2022","3.150","3.110","3.150","3.090","6.39M","1.29%"
"03/17/2022","3.110","3.100","3.140","3.100","7.53M","0.00%"
"03/16/2022","3.110","3.080","3.110","3.040","8.53M","3.32%"
"03/15/2022","3.010","3.000","3.030","2.900","16.81M","0.00%"
"03/14/2022","3.010","3.070","3.090","2.980","23.98M","-1.95%"
"03/11/2022","3.070","3.120","3.120","3.050","9.18M","-1.60%"
"03/10/2022","3.120","3.120","3.160","3.080","10.45M","0.65%"
"03/09/2022","3.100","3.010","3.110","3.010","20.68M","2.65%"
"03/08/2022","3.020","3.090","3.090","2.990","34.73M","-3.21%"
"03/07/2022","3.120","3.150","3.150","3.090","15.26M","-1.27%"
