"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","9.22","9.15","9.28","9.14","9.28M","1.10%"
"04/04/2023","9.12","9.01","9.33","9.00","14.94M","1.33%"
"04/03/2023","9.00","9.81","9.81","8.65","45.59M","-8.26%"
"03/31/2023","9.81","10.80","10.80","9.81","42.06M","-11.30%"
"03/30/2023","11.06","11.24","11.38","11.06","6.13M","-1.60%"
"03/29/2023","11.24","11.28","11.28","11.18","2.97M","-0.35%"
"03/28/2023","11.28","11.20","11.30","11.20","1.11M","-0.35%"
"03/27/2023","11.32","11.34","11.34","11.14","1.87M","-0.18%"
"03/24/2023","11.34","11.08","11.34","11.08","2.86M","2.53%"
"03/23/2023","11.06","11.26","11.26","11.06","4.25M","-1.25%"
"03/22/2023","11.20","11.40","11.40","11.20","2.93M","-1.23%"
"03/21/2023","11.34","11.40","11.44","11.18","2.17M","0.35%"
"03/20/2023","11.30","11.30","11.38","11.14","806.30K","0.00%"
"03/17/2023","11.30","11.28","11.42","11.22","3.23M","0.00%"
"03/16/2023","11.30","11.30","11.30","11.02","1.66M","0.00%"
"03/15/2023","11.30","11.18","11.38","11.00","5.16M","2.36%"
"03/14/2023","11.04","11.46","11.46","11.04","5.31M","-1.95%"
"03/13/2023","11.26","11.34","11.66","11.26","2.97M","-1.75%"
"03/10/2023","11.46","11.54","11.56","11.32","2.88M","-0.35%"
"03/09/2023","11.50","11.84","11.84","11.50","2.90M","-2.87%"
"03/08/2023","11.84","11.76","11.84","11.54","6.04M","0.68%"
"03/07/2023","11.76","11.76","11.80","11.56","4.86M","1.73%"
"03/06/2023","11.56","11.66","11.90","11.54","3.86M","-0.69%"
"03/03/2023","11.64","11.80","11.94","11.62","4.24M","-1.36%"
"03/02/2023","11.80","11.70","11.96","11.46","6.67M","3.15%"
"03/01/2023","11.44","11.90","11.98","11.40","5.88M","-5.14%"
"02/28/2023","12.06","11.24","12.06","11.24","13.71M","7.68%"
"02/27/2023","11.20","11.70","11.70","11.14","9.97M","-4.27%"
"02/24/2023","11.70","11.80","11.90","11.62","3.09M","0.00%"
"02/23/2023","11.70","11.80","11.90","11.62","3.09M","-0.85%"
"02/22/2023","11.80","11.90","12.04","11.80","4.35M","-0.84%"
"02/21/2023","11.90","12.06","12.10","11.90","1.21M","-0.83%"
"02/20/2023","12.00","12.00","12.16","11.82","3.03M","0.17%"
"02/17/2023","11.98","12.14","12.14","11.84","6.73M","-1.48%"
"02/16/2023","12.16","12.36","12.38","12.16","7.65M","-0.65%"
"02/15/2023","12.24","12.30","12.36","12.20","4.27M","-0.49%"
"02/14/2023","12.30","12.42","12.42","12.26","3.99M","-0.97%"
"02/13/2023","12.42","12.26","12.58","12.24","6.39M","1.31%"
"02/10/2023","12.26","12.30","12.50","12.24","7.75M","0.16%"
"02/09/2023","12.24","12.72","12.72","12.22","10.13M","-3.77%"
"02/08/2023","12.72","12.60","12.88","12.40","8.55M","3.25%"
"02/07/2023","12.32","12.88","12.98","12.32","8.84M","-4.20%"
"02/06/2023","12.86","13.30","13.40","12.84","7.03M","-3.31%"
"02/03/2023","13.30","13.54","13.54","13.08","8.37M","-1.63%"
"02/02/2023","13.52","13.76","13.76","13.30","7.45M","-2.31%"
"02/01/2023","13.84","13.10","13.84","12.94","12.13M","4.85%"
"01/31/2023","13.20","13.22","13.30","12.72","12.76M","-1.79%"
"01/30/2023","13.44","13.70","13.70","13.24","5.00M","-1.90%"
"01/27/2023","13.70","13.94","13.94","13.62","4.65M","-1.72%"
"01/26/2023","13.94","14.14","14.28","13.90","2.43M","-2.52%"
"01/25/2023","14.30","14.40","14.48","13.98","1.80M","2.44%"
"01/24/2023","13.96","14.32","14.64","13.96","2.03M","-3.59%"
"01/23/2023","14.48","14.22","14.50","14.00","1.73M","0.56%"
"01/20/2023","14.40","14.66","14.74","14.32","5.70M","-2.70%"
"01/19/2023","14.80","14.60","14.92","14.42","12.93M","-0.40%"
"01/18/2023","14.86","13.90","14.86","13.86","8.44M","5.84%"
"01/17/2023","14.04","14.10","14.10","13.62","6.91M","-1.54%"
"01/16/2023","14.26","13.82","14.46","13.62","14.38M","3.18%"
"01/13/2023","13.82","13.30","13.86","13.12","24.61M","3.29%"
"01/12/2023","13.38","12.90","13.38","12.66","12.00M","3.24%"
"01/11/2023","12.96","12.30","12.96","12.30","12.68M","5.37%"
"01/10/2023","12.30","12.42","12.82","12.30","6.31M","-1.44%"
"01/09/2023","12.48","12.48","12.48","12.24","5.64M","0.97%"
"01/06/2023","12.36","12.50","12.52","12.14","10.45M","-2.22%"
"01/05/2023","12.64","12.40","12.64","12.04","8.45M","1.77%"
"01/04/2023","12.42","11.90","12.46","11.72","11.67M","4.19%"
"01/03/2023","11.92","11.10","11.96","11.10","8.71M","7.58%"
"12/29/2022","11.08","11.46","11.50","11.08","15.35M","-2.12%"
"12/28/2022","11.32","11.60","11.60","11.28","5.94M","-2.92%"
"12/27/2022","11.66","11.70","11.76","11.32","10.82M","-0.34%"
"12/23/2022","11.70","11.38","11.76","11.02","13.27M","3.54%"
"12/22/2022","11.30","11.10","11.54","11.10","11.12M","2.17%"
"12/21/2022","11.06","11.14","11.26","11.00","5.26M","-0.72%"
"12/20/2022","11.14","11.16","11.30","11.12","1.14M","-0.54%"
"12/19/2022","11.20","11.30","11.30","11.10","4.46M","-0.88%"
"12/16/2022","11.30","11.10","11.30","11.00","11.76M","1.80%"
"12/15/2022","11.10","11.40","11.46","11.10","5.37M","-2.63%"
"12/14/2022","11.40","11.40","11.52","11.26","8.98M","1.42%"
"12/13/2022","11.24","11.24","11.40","11.16","5.02M","1.26%"
"12/12/2022","11.10","11.38","11.48","11.10","5.40M","-1.25%"
"12/09/2022","11.24","11.38","11.62","11.24","7.85M","-1.23%"
"12/07/2022","11.38","11.64","11.64","11.38","7.85M","-1.73%"
"12/06/2022","11.58","12.00","12.00","11.54","15.69M","-3.50%"
"12/05/2022","12.00","12.04","12.30","11.90","9.27M","0.84%"
"12/02/2022","11.90","12.70","12.80","11.82","5.36M","-6.30%"
"12/01/2022","12.70","13.20","13.20","12.66","4.42M","0.47%"
"11/29/2022","12.64","12.90","12.90","12.52","11.08M","-2.17%"
"11/28/2022","12.92","12.60","13.20","12.60","9.34M","2.54%"
"11/25/2022","12.60","12.60","12.74","12.30","3.40M","0.00%"
"11/24/2022","12.60","12.80","12.96","12.52","4.22M","-1.56%"
"11/23/2022","12.80","12.86","12.90","12.72","4.44M","0.47%"
"11/22/2022","12.74","12.80","12.86","12.62","5.68M","-0.47%"
"11/21/2022","12.80","12.72","12.88","12.60","5.13M","0.63%"
"11/18/2022","12.72","12.38","12.96","12.30","11.34M","3.25%"
"11/17/2022","12.32","12.00","12.32","11.94","2.70M","2.67%"
"11/16/2022","12.00","12.28","12.28","11.80","13.22M","-1.64%"
"11/15/2022","12.20","11.70","12.20","11.62","3.98M","4.27%"
"11/14/2022","11.70","12.08","12.08","11.70","2.23M","-1.02%"
"11/11/2022","11.82","12.04","12.36","11.70","3.80M","-1.01%"
"11/10/2022","11.94","11.90","11.96","11.30","3.63M","-0.50%"
"11/09/2022","12.00","12.02","12.24","11.94","5.07M","-0.17%"
"11/08/2022","12.02","11.92","12.14","11.78","4.11M","0.84%"
"11/07/2022","11.92","11.50","11.92","11.50","2.44M","3.65%"
"11/04/2022","11.50","11.68","11.68","11.28","3.42M","-1.71%"
