"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","3.700","3.700","3.730","3.630","12.72M","0.54%"
"04/04/2023","3.680","3.720","3.770","3.660","10.87M","-0.81%"
"04/03/2023","3.710","3.690","3.780","3.680","2.52M","0.82%"
"03/31/2023","3.680","3.790","3.800","3.680","19.42M","-2.65%"
"03/30/2023","3.780","3.850","3.900","3.760","13.51M","-1.82%"
"03/29/2023","3.850","3.830","3.910","3.810","33.26M","0.79%"
"03/28/2023","3.820","3.690","3.820","3.690","34.04M","4.09%"
"03/27/2023","3.670","3.630","3.740","3.630","15.09M","1.10%"
"03/24/2023","3.630","3.580","3.680","3.580","11.79M","2.25%"
"03/23/2023","3.550","3.580","3.660","3.530","34.21M","-1.11%"
"03/22/2023","3.590","3.700","3.700","3.560","27.43M","-2.45%"
"03/21/2023","3.680","3.700","3.780","3.670","26.39M","0.27%"
"03/20/2023","3.670","3.650","3.770","3.640","26.67M","-0.81%"
"03/17/2023","3.700","3.810","3.870","3.630","44.15M","-1.33%"
"03/16/2023","3.750","3.880","3.900","3.750","25.57M","-2.34%"
"03/15/2023","3.840","4.050","4.070","3.830","23.60M","-4.00%"
"03/14/2023","4.000","4.130","4.130","4.000","20.88M","-3.15%"
"03/13/2023","4.130","4.080","4.170","4.050","24.10M","2.23%"
"03/10/2023","4.040","4.070","4.080","4.020","17.75M","-0.74%"
"03/09/2023","4.070","4.260","4.260","4.070","40.88M","-2.86%"
"03/08/2023","4.190","4.350","4.350","4.190","55.35M","-4.56%"
"03/07/2023","4.390","4.490","4.510","4.380","35.23M","-2.88%"
"03/06/2023","4.520","4.450","4.530","4.380","31.14M","0.44%"
"03/03/2023","4.500","4.210","4.520","4.210","113.16M","7.40%"
"03/02/2023","4.190","4.200","4.290","4.170","28.56M","0.24%"
"03/01/2023","4.180","4.160","4.210","4.120","16.70M","2.45%"
"02/28/2023","4.080","4.060","4.260","4.030","64.03M","0.49%"
"02/27/2023","4.060","4.050","4.100","3.980","49.51M","0.25%"
"02/24/2023","4.050","4.180","4.250","4.050","42.79M","0.00%"
"02/23/2023","4.050","4.180","4.250","4.050","42.79M","-3.11%"
"02/22/2023","4.180","4.160","4.240","4.140","18.03M","-0.48%"
"02/21/2023","4.200","4.210","4.270","4.190","31.49M","-0.24%"
"02/20/2023","4.210","4.210","4.250","4.160","34.03M","-1.41%"
"02/17/2023","4.270","4.460","4.460","4.230","79.93M","0.00%"
"02/16/2023","4.270","4.460","4.460","4.230","79.93M","-4.69%"
"02/15/2023","4.480","4.550","4.550","4.420","41.96M","-1.54%"
"02/14/2023","4.550","4.450","4.620","4.450","158.96M","3.41%"
"02/13/2023","4.400","4.210","4.400","4.210","105.23M","4.27%"
"02/10/2023","4.220","4.250","4.330","4.180","38.14M","-0.24%"
"02/09/2023","4.230","4.180","4.280","4.160","45.22M","1.93%"
"02/08/2023","4.150","4.160","4.230","4.150","40.92M","0.00%"
"02/07/2023","4.150","4.040","4.210","4.040","34.96M","2.98%"
"02/06/2023","4.030","4.000","4.090","4.000","27.10M","1.51%"
"02/03/2023","3.970","4.070","4.130","3.970","100.98M","-1.98%"
"02/02/2023","4.050","4.200","4.200","4.050","51.83M","-3.57%"
"02/01/2023","4.200","4.050","4.260","4.050","33.84M","3.96%"
"01/31/2023","4.040","4.030","4.120","4.010","40.87M","0.50%"
"01/30/2023","4.020","4.260","4.270","4.020","31.54M","-6.07%"
"01/27/2023","4.280","4.300","4.340","4.250","16.73M","-0.47%"
"01/26/2023","4.300","4.360","4.400","4.300","21.20M","-1.38%"
"01/25/2023","4.360","4.350","4.430","4.270","35.20M","0.23%"
"01/24/2023","4.350","4.100","4.400","4.100","95.00M","6.88%"
"01/23/2023","4.070","4.080","4.090","4.050","7.01M","-0.25%"
"01/20/2023","4.080","4.070","4.120","4.060","20.92M","-0.49%"
"01/19/2023","4.100","4.010","4.100","3.970","38.83M","2.50%"
"01/18/2023","4.000","3.910","4.060","3.900","43.31M","2.56%"
"01/17/2023","3.900","4.100","4.100","3.890","32.96M","-2.74%"
"01/16/2023","4.010","3.970","4.160","3.970","65.51M","1.52%"
"01/13/2023","3.950","3.840","4.020","3.800","46.32M","4.22%"
"01/12/2023","3.790","3.830","3.920","3.790","28.04M","-1.30%"
"01/11/2023","3.840","4.000","4.080","3.840","80.16M","-1.03%"
"01/10/2023","3.880","3.610","3.930","3.570","57.35M","7.78%"
"01/09/2023","3.600","3.530","3.600","3.530","12.20M","2.56%"
"01/06/2023","3.510","3.540","3.540","3.510","4.77M","-0.85%"
"01/05/2023","3.540","3.530","3.560","3.510","24.19M","0.28%"
