"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","6.5200","6.4100","6.5800","6.4100","538.50K","1.72%"
"04/04/2023","6.4100","6.6000","6.6000","6.3200","3.08M","-1.38%"
"04/03/2023","6.5000","6.7500","6.7500","6.4500","1.85M","-3.70%"
"03/31/2023","6.7500","6.6100","6.7700","6.6100","4.78M","2.12%"
"03/30/2023","6.6100","6.6000","6.7000","6.5700","3.91M","1.07%"
"03/29/2023","6.5400","6.5400","6.5600","6.4800","1.76M","0.00%"
"03/28/2023","6.5400","6.4900","6.5700","6.4700","1.48M","-0.15%"
"03/27/2023","6.5500","6.6500","6.6500","6.4200","3.23M","-0.91%"
"03/24/2023","6.6100","6.6000","6.6100","6.5600","4.84M","-1.34%"
"03/23/2023","6.7000","6.6800","6.7200","6.5300","4.62M","-0.15%"
"03/22/2023","6.7100","6.6900","6.8000","6.6400","5.87M","0.75%"
"03/21/2023","6.6600","6.5000","6.6700","6.5000","3.84M","4.06%"
"03/20/2023","6.4000","6.5800","6.6500","6.3200","10.39M","-1.69%"
"03/17/2023","6.5100","6.6900","6.9900","6.5100","52.10M","-2.69%"
"03/16/2023","6.6900","6.8700","6.8700","6.4000","4.19M","-1.62%"
"03/15/2023","6.8000","7.0400","7.1700","6.8000","4.21M","-3.41%"
"03/14/2023","7.0400","7.2600","7.2900","6.8900","8.14M","-3.03%"
"03/13/2023","7.2600","7.3900","7.3900","7.1500","3.24M","-2.16%"
"03/10/2023","7.4200","7.2700","7.4400","7.2600","1.95M","-0.67%"
"03/09/2023","7.4700","7.3500","7.6100","7.2600","5.84M","1.63%"
"03/08/2023","7.3500","7.5800","7.5800","7.2900","5.43M","-3.92%"
"03/07/2023","7.6500","7.7500","7.8700","7.5200","11.14M","-0.65%"
"03/06/2023","7.7000","7.6200","7.7400","7.6200","7.13M","1.05%"
"03/03/2023","7.6200","7.2000","7.6300","7.1200","18.88M","6.13%"
"03/02/2023","7.1800","7.1000","7.2100","7.1000","2.99M","1.41%"
"03/01/2023","7.0800","7.0300","7.1000","6.9200","2.86M","0.71%"
"02/28/2023","7.0300","7.0700","7.1200","6.9600","10.59M","0.43%"
"02/27/2023","7.0000","7.2800","7.2800","6.9000","12.30M","-4.37%"
"02/24/2023","7.3200","7.3800","7.3800","7.2200","2.62M","0.00%"
"02/23/2023","7.3200","7.3800","7.3800","7.2200","2.62M","0.55%"
"02/22/2023","7.2800","7.3000","7.3000","7.1100","2.61M","-0.68%"
"02/21/2023","7.3300","7.1700","7.4500","7.1700","3.70M","2.37%"
"02/20/2023","7.1600","7.2400","7.3800","7.0700","8.61M","-1.78%"
"02/17/2023","7.2900","7.3600","7.4300","7.1800","7.85M","-0.95%"
"02/16/2023","7.3600","7.6000","7.8100","7.3400","7.99M","-2.13%"
"02/15/2023","7.5200","7.5500","7.6000","7.4300","4.51M","-0.40%"
"02/14/2023","7.5500","7.4000","7.6300","7.3800","11.16M","2.03%"
"02/13/2023","7.4000","7.3900","7.5700","7.3200","10.18M","-0.27%"
"02/10/2023","7.4200","7.5000","7.5500","7.2700","13.27M","-1.98%"
"02/09/2023","7.5700","7.4400","7.6000","7.4100","19.14M","1.75%"
