"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","3.620","3.460","3.640","3.410","9.10M","4.62%"
"04/04/2023","3.460","3.420","3.550","3.420","1.24M","1.17%"
"04/03/2023","3.420","3.370","3.420","3.330","1.30M","2.09%"
"03/31/2023","3.350","3.400","3.400","3.300","992.00K","-1.47%"
"03/30/2023","3.400","3.450","3.490","3.390","1.44M","-1.45%"
"03/29/2023","3.450","3.500","3.500","3.420","1.13M","-1.43%"
"03/28/2023","3.500","3.430","3.550","3.410","3.27M","-0.28%"
"03/27/2023","3.510","3.490","3.580","3.450","1.97M","0.57%"
"03/24/2023","3.490","3.700","3.750","3.450","2.22M","-6.43%"
"03/23/2023","3.730","3.620","3.810","3.610","15.00M","2.75%"
"03/22/2023","3.630","3.580","3.650","3.550","9.93M","1.68%"
"03/21/2023","3.570","3.470","3.620","3.430","9.95M","2.88%"
"03/20/2023","3.470","3.340","3.490","3.260","2.46M","3.58%"
"03/17/2023","3.350","3.310","3.440","3.310","500.00K","0.90%"
"03/16/2023","3.320","3.450","3.540","3.240","3.57M","-3.77%"
"03/15/2023","3.450","3.340","3.470","3.340","3.67M","2.68%"
"03/14/2023","3.360","3.440","3.440","3.270","4.43M","-2.61%"
"03/13/2023","3.450","3.680","3.700","3.450","7.54M","-7.01%"
"03/10/2023","3.710","3.490","3.860","3.390","27.09M","6.30%"
"03/09/2023","3.490","3.320","3.500","3.300","10.77M","3.87%"
"03/08/2023","3.360","3.320","3.450","3.210","11.50M","0.30%"
"03/07/2023","3.350","3.030","3.400","3.010","19.79M","11.67%"
"03/06/2023","3.000","2.650","3.070","2.620","10.62M","13.64%"
"03/03/2023","2.640","2.690","2.700","2.610","582.00K","-1.12%"
"03/02/2023","2.670","2.600","2.680","2.600","1.49M","2.69%"
"03/01/2023","2.600","2.570","2.640","2.570","819.00K","3.17%"
"02/28/2023","2.520","2.570","2.570","2.510","101.00K","-1.95%"
"02/27/2023","2.570","2.580","2.580","2.510","314.00K","2.39%"
"02/24/2023","2.510","2.510","2.600","2.500","1.22M","0.00%"
"02/23/2023","2.510","2.510","2.600","2.500","1.22M","0.00%"
"02/22/2023","2.510","2.540","2.540","2.500","1.16M","-1.18%"
"02/21/2023","2.540","2.610","2.610","2.530","869.00K","-3.05%"
"02/20/2023","2.620","2.660","2.660","2.620","261.00K","-1.50%"
"02/17/2023","2.660","2.670","2.670","2.620","732.00K","-1.12%"
"02/16/2023","2.690","2.700","2.710","2.660","540.00K","0.00%"
"02/15/2023","2.690","2.690","2.690","2.650","654.00K","0.00%"
"02/14/2023","2.690","2.660","2.690","2.650","737.00K","1.51%"
"02/13/2023","2.650","2.720","2.720","2.650","717.00K","-2.57%"
"02/10/2023","2.720","2.670","2.720","2.650","1.10M","1.87%"
"02/09/2023","2.670","2.660","2.680","2.630","1.52M","0.38%"
