"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","3.280","3.150","3.300","3.150","609.00K","4.46%"
"04/04/2023","3.140","2.810","3.190","2.810","338.00K","5.37%"
"04/03/2023","2.980","2.620","2.980","2.620","923.00K","22.63%"
"03/31/2023","2.430","2.370","2.680","2.370","497.00K","2.53%"
"03/30/2023","2.370","2.300","2.380","2.300","288.00K","2.16%"
"03/29/2023","2.320","2.370","2.370","2.320","205.00K","-2.52%"
"03/28/2023","2.380","2.350","2.380","2.350","120.00K","1.28%"
"03/27/2023","2.350","2.300","2.350","2.300","90.00K","0.00%"
"03/24/2023","2.350","2.280","2.350","2.280","196.00K","3.07%"
"03/23/2023","2.280","2.280","2.280","2.280","20.00K","0.00%"
"03/21/2023","2.280","2.260","2.280","2.260","98.00K","-0.87%"
"03/20/2023","2.300","2.280","2.300","2.260","111.00K","1.77%"
"03/17/2023","2.260","2.050","2.260","2.030","69.00K","0.00%"
"03/15/2023","2.260","2.040","2.260","2.040","59.00K","0.00%"
"03/14/2023","2.260","2.230","2.260","2.230","150.00K","2.73%"
"03/13/2023","2.200","2.000","2.200","2.000","59.00K","0.46%"
"03/10/2023","2.190","2.020","2.200","1.980","278.00K","10.61%"
"03/08/2023","1.980","1.980","1.980","1.980","10.00K","0.00%"
"03/07/2023","1.980","2.000","2.000","1.980","14.00K","-1.00%"
"03/06/2023","2.000","2.000","2.000","2.000","5.00K","0.00%"
"03/02/2023","2.000","2.000","2.000","2.000","5.00K","0.00%"
"03/01/2023","2.000","2.010","2.010","2.000","30.00K","-0.50%"
"02/24/2023","2.010","2.010","2.010","2.010","25.00K","0.00%"
"02/23/2023","2.010","2.010","2.010","2.010","25.00K","0.00%"
"02/22/2023","2.010","2.010","2.010","2.010","5.00K","-0.50%"
"02/21/2023","2.020","2.020","2.020","2.020","67.00K","0.00%"
"02/16/2023","2.020","2.020","2.020","2.020","3.00K","0.00%"
"02/14/2023","2.020","2.020","2.020","2.020","2.00K","-3.35%"
"02/13/2023","2.090","2.090","2.090","2.090","3.00K","2.45%"
"02/10/2023","2.040","2.040","2.040","2.040","58.00K","0.00%"
"02/08/2023","2.040","2.060","2.060","2.040","39.00K","-2.39%"
"02/07/2023","2.090","2.060","2.090","2.060","86.00K","1.46%"
"02/06/2023","2.060","2.010","2.140","2.010","14.00K","-1.90%"
"02/03/2023","2.100","2.030","2.100","2.020","41.00K","3.45%"
"02/02/2023","2.030","2.030","2.030","2.030","8.00K","0.50%"
"02/01/2023","2.020","2.030","2.030","2.020","28.00K","-6.05%"
"01/31/2023","2.150","2.160","2.180","2.140","17.00K","6.97%"
"01/30/2023","2.010","2.050","2.050","2.010","39.00K","-2.43%"
"01/25/2023","2.060","2.060","2.060","2.060","19.00K","0.00%"
"01/24/2023","2.060","2.140","2.140","2.060","34.00K","-0.48%"
"01/20/2023","2.070","2.060","2.070","2.060","33.00K","-1.43%"
"01/19/2023","2.100","2.060","2.100","2.060","111.00K","-11.02%"
"01/16/2023","2.360","2.300","2.360","2.200","598.00K","2.16%"
"01/12/2023","2.310","2.310","2.330","2.300","170.00K","2.21%"
"01/11/2023","2.260","2.290","2.290","2.260","155.00K","-3.00%"
"01/10/2023","2.330","2.330","2.330","2.330","4.00K","0.00%"
"01/09/2023","2.330","2.190","2.330","2.190","344.00K","3.56%"
"01/05/2023","2.250","2.100","2.250","2.100","51.00K","0.00%"
"01/04/2023","2.250","2.300","2.300","2.100","57.00K","6.64%"
"12/29/2022","2.110","2.110","2.110","2.110","13.00K","-7.86%"
"12/21/2022","2.290","2.100","2.290","2.100","4.00K","-0.87%"
"12/19/2022","2.310","2.310","2.310","2.200","22.00K","-1.28%"
"12/12/2022","2.340","2.110","2.340","2.110","8.00K","3.54%"
"12/07/2022","2.260","2.110","2.260","2.110","2.00K","-1.31%"
"12/06/2022","2.290","2.300","2.300","2.100","19.00K","4.09%"
"12/02/2022","2.200","2.190","2.200","2.190","12.00K","-0.90%"
"12/01/2022","2.220","2.100","2.250","2.100","7.00K","-3.48%"
"11/25/2022","2.300","2.110","2.360","2.110","14.00K","-3.77%"
"11/24/2022","2.390","2.200","2.390","2.200","11.00K","0.84%"
"11/23/2022","2.370","2.220","2.370","2.220","31.00K","5.80%"
"11/21/2022","2.240","2.200","2.380","2.200","8.00K","-3.86%"
"11/17/2022","2.330","2.210","2.330","2.210","78.00K","-2.92%"
"11/11/2022","2.400","2.200","2.400","2.200","9.00K","14.29%"
"11/10/2022","2.100","2.400","2.460","2.100","120.00K","-12.13%"
"11/09/2022","2.390","2.390","2.390","2.390","5.00K","5.29%"
"11/08/2022","2.270","2.270","2.270","2.270","38.00K","-7.72%"
"11/07/2022","2.460","2.460","2.460","2.460","1.00K","1.23%"
"11/02/2022","2.430","2.270","2.430","2.270","505.00K","7.05%"
"10/28/2022","2.270","2.480","2.480","2.260","22.00K","-5.81%"
"10/27/2022","2.410","2.470","2.470","2.310","122.00K","-3.21%"
"10/26/2022","2.490","2.320","2.490","2.320","15.00K","0.00%"
"10/21/2022","2.490","2.270","2.490","2.270","10.00K","-0.40%"
