"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","12.100","12.160","12.200","11.960","1.22M","-0.33%"
"04/04/2023","12.140","12.200","12.300","12.140","1.06M","-0.16%"
"04/03/2023","12.160","12.140","12.360","11.960","2.45M","0.83%"
"03/31/2023","12.060","12.960","13.160","11.940","4.48M","-6.07%"
"03/30/2023","12.840","12.840","12.940","12.780","425.10K","0.00%"
"03/29/2023","12.840","12.800","13.020","12.800","996.60K","0.31%"
"03/28/2023","12.800","12.780","12.860","12.780","520.50K","-0.31%"
"03/27/2023","12.840","12.780","12.900","12.760","379.30K","0.47%"
"03/24/2023","12.780","13.000","13.060","12.760","564.60K","-1.54%"
"03/23/2023","12.980","13.100","13.100","12.940","237.30K","-1.07%"
"03/22/2023","13.120","13.120","13.160","13.040","353.70K","-0.30%"
"03/21/2023","13.160","13.000","13.180","13.000","861.00K","1.70%"
"03/20/2023","12.940","12.680","13.040","12.680","1.45M","2.05%"
"03/17/2023","12.680","12.460","12.680","12.440","328.70K","1.77%"
"03/16/2023","12.460","12.480","12.480","12.400","407.00K","-0.16%"
"03/15/2023","12.480","12.380","12.480","12.380","393.50K","0.81%"
"03/14/2023","12.380","12.380","12.420","12.380","209.20K","0.00%"
"03/13/2023","12.380","12.440","12.440","12.300","210.00K","-0.48%"
"03/10/2023","12.440","12.440","12.440","12.360","237.50K","0.00%"
"03/09/2023","12.440","12.440","12.460","12.400","453.70K","0.16%"
"03/08/2023","12.420","12.460","12.480","12.380","222.70K","-0.32%"
"03/07/2023","12.460","12.480","12.480","12.380","132.80K","0.48%"
"03/06/2023","12.400","12.360","12.500","12.320","216.30K","-0.64%"
"03/03/2023","12.480","12.300","12.480","12.300","165.90K","1.63%"
"03/02/2023","12.280","12.220","12.400","12.200","172.00K","0.49%"
"03/01/2023","12.220","12.440","12.440","12.200","413.50K","-1.45%"
"02/28/2023","12.400","12.480","12.480","12.400","92.20K","-0.64%"
"02/27/2023","12.480","12.360","12.500","12.340","323.60K","0.97%"
"02/24/2023","12.360","12.440","12.440","12.340","182.50K","0.00%"
"02/23/2023","12.360","12.440","12.440","12.340","182.50K","-0.80%"
"02/22/2023","12.460","12.520","12.560","12.460","175.40K","-0.80%"
"02/21/2023","12.560","12.600","12.600","12.520","144.20K","-0.32%"
"02/20/2023","12.600","12.460","12.620","12.460","394.50K","1.12%"
"02/17/2023","12.460","12.400","12.500","12.140","202.60K","0.16%"
"02/16/2023","12.440","12.280","12.480","12.280","201.80K","1.30%"
"02/15/2023","12.280","12.620","12.620","12.100","530.80K","-2.69%"
"02/14/2023","12.620","12.680","12.700","12.620","540.70K","-0.47%"
"02/13/2023","12.680","12.480","12.680","12.460","773.90K","1.60%"
"02/10/2023","12.480","12.460","12.480","12.420","260.00K","0.16%"
"02/09/2023","12.460","12.460","12.480","12.440","398.80K","0.00%"
"02/08/2023","12.460","12.460","12.480","12.420","312.40K","0.00%"
"02/07/2023","12.460","12.400","12.480","12.400","411.30K","0.48%"
"02/06/2023","12.400","12.460","12.480","12.360","207.70K","-0.16%"
"02/03/2023","12.420","12.360","12.480","12.360","351.00K","0.49%"
"02/02/2023","12.360","12.200","12.400","12.200","403.90K","1.64%"
"02/01/2023","12.160","12.000","12.400","11.960","445.50K","1.33%"
"01/31/2023","12.000","12.160","12.160","11.800","795.60K","-1.32%"
"01/30/2023","12.160","12.500","12.500","12.060","764.90K","-2.56%"
"01/27/2023","12.480","12.300","12.500","12.300","520.80K","1.46%"
"01/26/2023","12.300","12.160","12.360","12.160","414.30K","1.49%"
"01/25/2023","12.120","11.980","12.160","11.980","445.70K","1.17%"
"01/24/2023","11.980","11.980","12.000","11.960","308.90K","0.00%"
"01/23/2023","11.980","12.140","12.160","11.940","530.20K","-1.32%"
"01/20/2023","12.140","11.940","12.140","11.940","636.00K","2.02%"
"01/19/2023","11.900","11.700","11.980","11.680","645.30K","1.88%"
"01/18/2023","11.680","11.600","11.680","11.560","307.30K","0.69%"
"01/17/2023","11.600","11.560","11.620","11.500","616.00K","0.69%"
"01/16/2023","11.520","11.380","11.660","11.380","728.50K","1.41%"
"01/13/2023","11.360","11.400","11.480","11.340","527.50K","-0.35%"
"01/12/2023","11.400","11.300","11.400","11.300","496.10K","0.88%"
"01/11/2023","11.300","11.260","11.340","11.260","404.10K","0.36%"
"01/10/2023","11.260","11.220","11.280","11.200","431.70K","0.36%"
"01/09/2023","11.220","11.220","11.300","11.220","575.80K","0.36%"
"01/06/2023","11.180","11.180","11.180","10.900","966.00K","0.00%"
"01/05/2023","11.180","11.280","11.340","11.000","1.78M","-0.89%"
"01/04/2023","11.280","11.220","11.280","11.200","742.20K","0.53%"
"01/03/2023","11.220","11.220","11.240","11.180","398.40K","0.00%"
"12/29/2022","11.220","11.160","11.240","11.160","643.90K","0.54%"
"12/28/2022","11.160","11.120","11.220","11.080","254.80K","0.72%"
"12/27/2022","11.080","11.100","11.200","11.000","309.10K","0.73%"
"12/23/2022","11.000","10.840","11.100","10.840","170.30K","-0.72%"
"12/22/2022","11.080","11.020","11.080","11.020","156.50K","0.73%"
"12/21/2022","11.000","11.040","11.040","10.900","167.90K","-0.18%"
"12/20/2022","11.020","10.800","11.080","10.800","141.00K","2.04%"
"12/19/2022","10.800","11.040","11.040","10.800","363.70K","-2.00%"
"12/16/2022","11.020","11.000","11.080","10.960","318.40K","0.00%"
"12/15/2022","11.020","11.000","11.100","11.000","238.00K","0.18%"
"12/14/2022","11.000","11.000","11.000","10.920","134.60K","0.73%"
"12/13/2022","10.920","11.140","11.180","10.920","223.90K","-1.97%"
"12/12/2022","11.140","11.100","11.140","10.960","455.20K","0.36%"
"12/09/2022","11.100","10.840","11.100","10.800","838.10K","2.21%"
"12/07/2022","10.860","10.800","10.880","10.800","160.10K","0.56%"
"12/06/2022","10.800","10.700","10.800","10.700","236.90K","0.93%"
"12/05/2022","10.700","10.740","10.740","10.600","201.30K","-0.37%"
"12/02/2022","10.740","10.760","10.840","10.740","559.00K","0.00%"
"12/01/2022","10.740","10.520","10.740","10.520","981.70K","2.68%"
"11/29/2022","10.460","10.360","10.500","10.360","415.60K","1.16%"
"11/28/2022","10.340","10.320","10.360","10.280","570.70K","0.39%"
