"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","2.42","2.44","2.44","2.39","3.37M","-1.22%"
"04/04/2023","2.45","2.48","2.50","2.37","5.40M","-1.61%"
"04/03/2023","2.49","2.45","2.50","2.45","900.00K","1.63%"
"03/31/2023","2.45","2.48","2.50","2.44","7.00M","-1.21%"
"03/30/2023","2.48","2.53","2.53","2.47","2.22M","0.40%"
"03/29/2023","2.47","2.46","2.48","2.46","822.00K","0.41%"
"03/28/2023","2.46","2.51","2.52","2.45","5.90M","-2.38%"
"03/27/2023","2.52","2.55","2.57","2.48","1.17M","-1.18%"
"03/24/2023","2.55","2.46","2.55","2.46","1.61M","2.41%"
"03/23/2023","2.49","2.52","2.52","2.47","1.12M","-1.97%"
"03/22/2023","2.54","2.40","2.58","2.40","3.40M","5.83%"
"03/21/2023","2.40","2.36","2.44","2.36","3.82M","2.13%"
"03/20/2023","2.35","2.44","2.44","2.32","2.48M","-3.69%"
"03/17/2023","2.44","2.47","2.50","2.42","3.81M","0.41%"
"03/16/2023","2.43","2.48","2.50","2.34","15.00M","-2.41%"
"03/15/2023","2.49","2.46","2.55","2.46","5.77M","2.47%"
"03/14/2023","2.43","2.48","2.49","2.38","4.63M","-2.80%"
"03/13/2023","2.50","2.45","2.55","2.44","2.48M","0.40%"
"03/10/2023","2.49","2.48","2.52","2.43","8.61M","0.00%"
"03/09/2023","2.49","2.59","2.65","2.43","7.09M","-3.49%"
"03/08/2023","2.58","2.67","2.69","2.58","4.57M","-4.80%"
"03/07/2023","2.71","2.59","2.75","2.59","7.77M","5.45%"
"03/06/2023","2.57","2.57","2.65","2.53","3.91M","1.98%"
"03/03/2023","2.52","2.57","2.57","2.48","4.31M","-1.18%"
"03/02/2023","2.55","2.59","2.73","2.48","7.67M","-1.54%"
"03/01/2023","2.59","2.62","2.69","2.53","6.15M","-1.52%"
"02/28/2023","2.63","2.70","2.78","2.62","4.35M","-2.59%"
"02/27/2023","2.70","2.85","2.85","2.65","9.44M","-6.90%"
"02/24/2023","2.90","2.88","3.00","2.82","6.21M","0.00%"
"02/23/2023","2.90","2.88","3.00","2.82","6.21M","1.05%"
"02/22/2023","2.87","2.96","2.98","2.87","7.62M","-4.97%"
"02/21/2023","3.02","2.98","3.06","2.94","9.75M","2.72%"
"02/20/2023","2.94","2.72","2.94","2.56","24.54M","8.49%"
"02/17/2023","2.71","2.92","2.92","2.70","22.30M","-9.06%"
"02/16/2023","2.98","3.00","3.07","2.93","3.98M","-1.00%"
"02/15/2023","3.01","3.14","3.19","2.94","14.27M","-4.44%"
"02/14/2023","3.15","3.33","3.36","3.10","12.85M","-5.69%"
"02/13/2023","3.34","3.39","3.46","3.28","8.44M","0.00%"
"02/10/2023","3.34","3.25","3.36","3.19","9.31M","4.70%"
"02/09/2023","3.19","3.22","3.25","3.13","7.37M","1.27%"
"02/08/2023","3.15","3.06","3.20","3.00","11.82M","4.65%"
"02/07/2023","3.01","3.12","3.25","2.97","12.63M","-3.53%"
"02/06/2023","3.12","3.02","3.13","2.87","20.58M","2.97%"
"02/03/2023","3.03","3.30","3.42","2.95","28.67M","-5.90%"
"02/02/2023","3.22","2.79","3.33","2.79","25.66M","16.25%"
"02/01/2023","2.77","2.47","2.77","2.46","23.19M","13.06%"
"01/31/2023","2.45","2.40","2.45","2.32","15.14M","1.24%"
"01/30/2023","2.42","2.47","2.48","2.40","11.81M","-2.81%"
"01/27/2023","2.49","2.53","2.55","2.47","12.94M","-0.80%"
"01/26/2023","2.51","2.43","2.53","2.41","8.95M","2.87%"
"01/25/2023","2.44","2.50","2.53","2.41","14.25M","-2.01%"
"01/24/2023","2.49","2.35","2.50","2.35","24.02M","6.41%"
"01/23/2023","2.34","2.31","2.36","2.29","7.31M","1.30%"
"01/20/2023","2.31","2.25","2.33","2.22","15.33M","2.67%"
"01/19/2023","2.25","2.36","2.37","2.22","18.15M","-4.66%"
"01/18/2023","2.36","2.35","2.40","2.33","20.18M","0.43%"
"01/17/2023","2.35","2.34","2.36","2.23","17.32M","2.17%"
"01/16/2023","2.30","2.14","2.36","2.14","35.78M","7.98%"
"01/13/2023","2.13","2.19","2.24","2.11","17.83M","-1.84%"
"01/12/2023","2.17","1.99","2.20","1.98","25.29M","7.43%"
"01/11/2023","2.02","2.18","2.19","1.99","32.34M","-7.34%"
"01/10/2023","2.18","2.23","2.27","2.12","25.26M","-0.91%"
"01/09/2023","2.20","2.12","2.22","2.08","37.99M","5.77%"
"01/06/2023","2.08","1.92","2.09","1.89","23.12M","8.33%"
"01/05/2023","1.92","1.98","2.11","1.87","66.61M","-2.04%"
"01/04/2023","1.96","1.65","1.96","1.65","62.46M","19.51%"
"01/03/2023","1.64","1.65","1.73","1.61","20.58M","-0.61%"
"12/29/2022","1.65","1.71","1.75","1.65","21.46M","-2.37%"
"12/28/2022","1.69","1.54","1.70","1.54","40.74M","11.18%"
"12/27/2022","1.52","1.45","1.54","1.45","11.57M","5.56%"
"12/23/2022","1.44","1.44","1.45","1.41","7.95M","0.00%"
"12/22/2022","1.44","1.46","1.46","1.43","5.98M","0.00%"
"12/21/2022","1.44","1.44","1.52","1.39","13.37M","2.13%"
"12/20/2022","1.41","1.40","1.45","1.38","11.86M","0.71%"
"12/19/2022","1.40","1.48","1.48","1.36","7.64M","-5.41%"
"12/16/2022","1.48","1.39","1.48","1.37","11.44M","6.47%"
"12/15/2022","1.39","1.39","1.41","1.34","12.55M","1.46%"
"12/14/2022","1.37","1.38","1.41","1.31","13.13M","-0.72%"
"12/13/2022","1.38","1.51","1.51","1.31","22.96M","-8.61%"
"12/12/2022","1.51","1.55","1.56","1.50","16.59M","-5.63%"
"12/09/2022","1.60","1.68","1.68","1.60","33.65M","-4.76%"
"12/07/2022","1.68","1.66","1.69","1.64","17.26M","1.82%"
"12/06/2022","1.65","1.63","1.66","1.59","9.27M","1.85%"
"12/05/2022","1.62","1.66","1.71","1.58","15.92M","-2.99%"
"12/02/2022","1.67","1.67","1.73","1.65","28.74M","1.83%"
"12/01/2022","1.64","1.58","1.66","1.57","75.19M","7.19%"
"11/29/2022","1.53","1.58","1.58","1.46","47.44M","-3.16%"
"11/28/2022","1.58","1.70","1.70","1.57","33.16M","-7.06%"
"11/25/2022","1.70","1.78","1.78","1.68","42.25M","-1.73%"
"11/24/2022","1.73","1.68","1.78","1.67","64.79M","3.59%"
"11/23/2022","1.67","1.72","1.72","1.61","13.85M","-3.47%"
"11/22/2022","1.73","1.86","1.88","1.69","10.19M","-6.49%"
"11/21/2022","1.85","2.03","2.03","1.84","7.10M","-7.96%"
"11/18/2022","2.01","2.32","2.32","2.01","7.46M","-12.61%"
"11/17/2022","2.30","2.60","2.60","2.30","2.46M","-8.73%"
"11/16/2022","2.52","2.50","2.65","2.50","484.00K","0.80%"
"11/15/2022","2.50","2.53","2.53","2.45","352.00K","0.00%"
"11/14/2022","2.50","2.50","2.50","2.48","111.00K","2.04%"
"11/11/2022","2.45","2.52","2.52","2.45","210.00K","-0.41%"
"11/10/2022","2.46","2.45","2.51","2.40","1.01M","-1.20%"
"11/09/2022","2.49","2.40","2.49","2.35","346.00K","3.75%"
"11/08/2022","2.40","2.60","2.75","2.38","1.72M","-9.09%"
"11/07/2022","2.64","2.65","2.65","2.61","178.00K","-0.38%"
"11/04/2022","2.65","2.83","2.84","2.62","84.00K","1.15%"
"11/03/2022","2.62","2.75","2.75","2.62","214.00K","-2.60%"
"11/02/2022","2.69","2.79","2.80","2.56","640.00K","-2.18%"
"10/28/2022","2.75","2.80","2.94","2.73","251.00K","0.36%"
"10/27/2022","2.74","2.75","2.75","2.73","409.00K","-0.36%"
"10/26/2022","2.75","2.83","2.84","2.75","276.00K","-2.83%"
"10/25/2022","2.83","2.90","2.92","2.81","83.00K","-3.08%"
"10/24/2022","2.92","2.93","2.93","2.85","194.00K","3.91%"
"10/21/2022","2.81","2.81","2.86","2.81","27.00K","0.00%"
"10/20/2022","2.81","2.92","2.92","2.75","1.48M","-4.75%"
"10/19/2022","2.95","2.96","2.96","2.93","188.00K","-0.34%"
"10/18/2022","2.96","3.05","3.05","2.95","375.00K","0.00%"
"10/17/2022","2.96","2.97","2.97","2.92","830.00K","-0.34%"
"10/14/2022","2.97","2.99","3.00","2.97","444.00K","-0.67%"
"10/13/2022","2.99","2.98","3.02","2.97","471.00K","0.00%"
"10/12/2022","2.99","3.00","3.05","2.98","859.00K","-0.99%"
"10/11/2022","3.02","3.11","3.15","3.02","414.00K","-2.27%"
"10/10/2022","3.09","3.11","3.11","3.06","495.00K","-1.59%"
"10/07/2022","3.14","3.11","3.14","3.11","195.00K","-0.32%"
"10/06/2022","3.15","3.20","3.20","3.10","315.00K","0.00%"
"10/05/2022","3.15","3.28","3.28","3.14","716.00K","-2.17%"
"10/04/2022","3.22","3.36","3.36","3.12","1.33M","-2.13%"
"10/03/2022","3.29","3.30","3.40","3.28","248.00K","0.00%"
"09/30/2022","3.29","3.41","3.45","3.25","1.34M","-5.19%"
"09/29/2022","3.47","3.50","3.50","3.44","124.00K","0.87%"
"09/28/2022","3.44","3.51","3.51","3.44","410.00K","-1.15%"
"09/27/2022","3.48","3.55","3.55","3.46","606.00K","-1.97%"
"09/23/2022","3.55","3.62","3.62","3.54","329.00K","-0.28%"
"09/22/2022","3.56","3.65","3.69","3.53","800.00K","-1.11%"
"09/21/2022","3.60","3.68","3.70","3.58","748.00K","-2.17%"
"09/20/2022","3.68","3.69","3.70","3.60","189.00K","0.00%"
"09/19/2022","3.68","3.73","3.79","3.68","4.29M","-1.34%"
"09/16/2022","3.73","3.74","3.82","3.72","613.00K","-0.27%"
"09/15/2022","3.74","3.70","3.85","3.70","9.71M","1.63%"
"09/14/2022","3.68","3.78","3.78","3.56","909.00K","-3.41%"
"09/13/2022","3.81","3.82","3.83","3.78","173.00K","0.53%"
"09/12/2022","3.79","3.80","3.95","3.78","766.00K","-0.26%"
"09/09/2022","3.80","3.81","4.08","3.80","489.00K","-0.26%"
"09/08/2022","3.81","3.94","4.02","3.80","881.00K","-3.30%"
"09/07/2022","3.94","4.28","4.28","3.94","2.34M","-5.29%"
"09/06/2022","4.16","4.29","4.29","4.16","2.27M","-2.35%"
"09/05/2022","4.26","4.29","4.39","4.21","509.00K","-0.70%"
"09/02/2022","4.29","4.29","4.30","4.25","494.00K","0.00%"
"09/01/2022","4.29","4.44","4.46","4.27","637.00K","-2.94%"
"08/31/2022","4.42","4.28","4.42","4.28","1.95M","3.27%"
"08/30/2022","4.28","4.29","4.37","4.20","2.64M","0.00%"
"08/26/2022","4.28","4.27","4.34","4.27","1.41M","0.00%"
"08/25/2022","4.28","4.32","4.40","4.28","1.47M","-0.23%"
"08/24/2022","4.29","4.74","4.74","4.29","3.42M","-6.74%"
"08/23/2022","4.60","4.70","4.70","4.55","1.76M","-1.08%"
"08/22/2022","4.65","4.70","4.70","4.60","554.00K","-1.06%"
"08/19/2022","4.70","4.72","4.99","4.69","2.12M","0.21%"
"08/18/2022","4.69","4.85","4.85","4.50","1.48M","-3.30%"
"08/17/2022","4.85","4.92","4.99","4.80","715.00K","-1.42%"
"08/16/2022","4.92","5.23","5.23","4.80","1.92M","-7.69%"
"08/15/2022","5.33","5.38","5.46","5.33","167.10K","-0.56%"
"08/12/2022","5.36","5.30","5.38","5.30","336.30K","1.13%"
"08/11/2022","5.30","4.99","5.30","4.97","363.00K","8.16%"
"08/10/2022","4.90","4.79","4.95","4.75","1.92M","3.16%"
"08/09/2022","4.75","4.70","4.80","4.70","109.00K","2.37%"
"08/08/2022","4.64","4.83","5.00","4.55","134.00K","-5.31%"
"08/05/2022","4.90","4.86","5.00","4.85","347.00K","0.82%"
"08/04/2022","4.86","4.92","4.92","4.85","38.00K","0.21%"
"08/03/2022","4.85","5.00","5.00","4.85","960.70K","-3.00%"
"08/02/2022","5.00","4.85","5.00","4.85","725.00K","3.09%"
"08/01/2022","4.85","4.82","4.85","4.75","95.00K","0.41%"
"07/29/2022","4.83","4.84","4.84","4.83","1.04M","-0.82%"
"07/28/2022","4.87","4.72","4.87","4.72","44.00K","3.62%"
"07/27/2022","4.70","4.77","4.78","4.70","26.00K","-1.67%"
"07/26/2022","4.78","4.70","4.89","4.70","113.00K","0.84%"
"07/25/2022","4.74","4.74","4.74","4.65","25.00K","0.00%"
"07/22/2022","4.74","4.65","4.75","4.64","79.00K","1.50%"
"07/21/2022","4.67","4.54","4.72","4.54","188.00K","2.64%"
"07/20/2022","4.55","4.40","4.55","4.40","42.00K","3.17%"
