"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","14.940","14.900","14.960","14.800","1.42M","-0.13%"
"04/04/2023","14.960","14.900","14.980","14.760","1.56M","0.27%"
"04/03/2023","14.920","14.720","14.920","14.520","1.66M","1.50%"
"03/31/2023","14.700","15.000","15.000","14.640","4.76M","-2.00%"
"03/30/2023","15.000","14.940","15.020","14.840","3.96M","0.40%"
"03/29/2023","14.940","14.900","14.940","14.740","3.44M","-0.27%"
"03/28/2023","14.980","14.400","14.980","14.300","10.68M","3.60%"
"03/27/2023","14.460","14.260","14.460","13.900","6.72M","2.26%"
"03/24/2023","14.140","13.960","14.280","13.960","2.90M","2.91%"
"03/23/2023","13.740","14.220","14.240","13.740","8.76M","-4.18%"
"03/22/2023","14.340","14.060","14.440","14.060","9.21M","3.31%"
"03/21/2023","13.880","13.660","13.960","13.660","4.93M","3.58%"
"03/20/2023","13.400","13.580","13.760","13.340","3.96M","-0.89%"
"03/17/2023","13.520","13.500","13.680","13.500","17.00M","0.90%"
"03/16/2023","13.400","13.680","13.700","13.380","6.01M","-1.47%"
"03/15/2023","13.600","14.200","14.260","13.600","10.99M","-2.58%"
"03/14/2023","13.960","14.360","14.380","13.800","5.82M","-3.06%"
"03/13/2023","14.400","14.060","14.460","14.000","7.52M","2.42%"
"03/10/2023","14.060","14.300","14.300","14.000","18.75M","-1.95%"
"03/09/2023","14.340","14.700","14.700","14.340","13.44M","-2.05%"
"03/08/2023","14.640","14.800","14.800","14.520","12.98M","-1.88%"
"03/07/2023","14.920","14.900","15.080","14.860","10.95M","0.81%"
"03/06/2023","14.800","15.000","15.000","14.700","10.24M","-0.67%"
"03/03/2023","14.900","15.100","15.100","14.780","9.77M","-0.67%"
"03/02/2023","15.000","14.980","15.200","14.880","6.30M","0.81%"
"03/01/2023","14.880","15.060","15.060","14.840","3.76M","-1.20%"
"02/28/2023","15.060","15.200","15.200","14.800","8.43M","-0.13%"
"02/27/2023","15.080","15.200","15.200","14.860","6.06M","-0.79%"
"02/24/2023","15.200","15.400","15.400","15.060","4.84M","0.00%"
"02/23/2023","15.200","15.400","15.400","15.060","4.84M","-1.30%"
"02/22/2023","15.400","15.500","15.500","15.180","4.17M","-0.65%"
"02/21/2023","15.500","15.500","15.600","15.400","1.61M","-0.26%"
"02/20/2023","15.540","15.600","15.760","15.440","2.21M","-0.38%"
"02/17/2023","15.600","15.900","15.900","15.580","5.60M","-2.26%"
"02/16/2023","15.960","15.840","15.960","15.800","1.29M","-0.25%"
"02/15/2023","16.000","15.840","16.000","15.500","5.35M","0.76%"
"02/14/2023","15.880","16.080","16.200","15.780","4.93M","-1.24%"
"02/13/2023","16.080","16.140","16.300","16.080","3.91M","-0.37%"
"02/10/2023","16.140","16.260","16.260","16.040","6.78M","-0.98%"
"02/09/2023","16.300","16.400","16.460","16.200","9.17M","-0.73%"
"02/08/2023","16.420","16.040","16.420","15.980","11.71M","2.11%"
"02/07/2023","16.080","15.980","16.080","15.760","7.15M","-0.12%"
"02/06/2023","16.100","16.020","16.300","15.740","16.69M","2.29%"
"02/03/2023","15.740","16.160","16.160","15.580","84.75M","-2.84%"
"02/02/2023","16.200","15.900","16.200","15.820","24.05M","3.71%"
"02/01/2023","15.620","15.300","15.880","15.300","11.01M","2.09%"
"01/31/2023","15.300","15.500","15.520","15.140","11.49M","-1.29%"
"01/30/2023","15.500","15.800","15.840","15.360","19.95M","-4.67%"
"01/27/2023","16.260","16.260","16.380","16.040","4.18M","0.00%"
"01/26/2023","16.260","16.300","16.480","16.060","5.00M","-1.45%"
"01/25/2023","16.500","15.960","16.500","15.700","13.08M","4.30%"
"01/24/2023","15.820","15.100","15.980","15.000","22.61M","5.47%"
"01/23/2023","15.000","14.880","15.000","14.700","9.87M","1.21%"
"01/20/2023","14.820","14.700","14.820","14.620","5.97M","1.23%"
"01/19/2023","14.640","14.800","14.900","14.560","9.14M","-1.08%"
"01/18/2023","14.800","14.960","15.000","14.720","7.64M","-0.80%"
"01/17/2023","14.920","14.960","15.000","14.880","5.60M","-0.27%"
"01/16/2023","14.960","15.040","15.100","14.900","12.90M","-0.27%"
"01/13/2023","15.000","15.100","15.120","14.960","6.74M","-0.13%"
"01/12/2023","15.020","15.060","15.160","14.940","5.11M","0.00%"
"01/11/2023","15.020","15.020","15.100","14.960","9.18M","0.13%"
"01/10/2023","15.000","15.200","15.200","14.820","10.98M","-0.53%"
"01/09/2023","15.080","14.880","15.200","14.880","11.76M","1.48%"
"01/06/2023","14.860","15.100","15.100","14.860","3.72M","-1.33%"
"01/05/2023","15.060","15.020","15.180","14.960","4.50M","0.67%"
"01/04/2023","14.960","14.900","15.160","14.840","12.72M","0.67%"
"01/03/2023","14.860","14.940","14.940","14.840","1.71M","-0.67%"
"12/29/2022","14.960","14.980","14.980","14.720","3.07M","-0.27%"
"12/28/2022","15.000","14.900","15.000","14.800","2.37M","0.67%"
"12/27/2022","14.900","15.000","15.040","14.880","798.50K","-0.67%"
"12/23/2022","15.000","15.100","15.100","14.920","357.10K","-0.66%"
"12/22/2022","15.100","15.020","15.120","15.020","794.40K","0.67%"
"12/21/2022","15.000","14.920","15.040","14.720","1.85M","0.67%"
"12/20/2022","14.900","14.880","15.000","14.840","1.69M","0.40%"
"12/19/2022","14.840","15.540","15.540","14.600","4.14M","-4.50%"
"12/16/2022","15.540","15.680","15.680","15.280","4.05M","-0.64%"
"12/15/2022","15.640","15.900","15.900","15.640","4.09M","-2.01%"
"12/14/2022","15.960","15.980","16.000","15.440","5.03M","0.63%"
"12/13/2022","15.860","15.900","15.980","15.800","600.60K","-0.13%"
"12/12/2022","15.880","16.000","16.280","15.800","645.10K","-0.75%"
"12/09/2022","16.000","16.300","16.300","15.960","2.03M","-1.84%"
"12/07/2022","16.300","16.140","16.360","16.060","1.55M","0.74%"
"12/06/2022","16.180","16.120","16.360","16.120","1.58M","-1.94%"
"12/05/2022","16.500","16.000","16.500","16.000","594.70K","3.13%"
"12/02/2022","16.000","16.200","16.260","16.000","1.75M","-1.36%"
"12/01/2022","16.220","16.280","16.500","16.220","1.58M","1.00%"
"11/29/2022","16.060","16.400","16.500","16.060","3.92M","-3.25%"
"11/28/2022","16.600","16.340","16.780","16.320","1.51M","0.61%"
"11/25/2022","16.500","16.480","16.500","16.280","1.74M","0.12%"
"11/24/2022","16.480","16.720","16.840","16.480","2.85M","-1.67%"
"11/23/2022","16.760","16.520","16.800","16.340","2.12M","1.09%"
"11/22/2022","16.580","16.520","16.580","16.200","3.96M","0.36%"
"11/21/2022","16.520","16.480","16.520","16.140","984.40K","0.73%"
"11/18/2022","16.400","15.900","16.400","15.900","3.36M","2.76%"
"11/17/2022","15.960","16.000","16.040","15.660","1.93M","-0.25%"
"11/16/2022","16.000","15.980","16.000","15.640","2.87M","0.00%"
"11/15/2022","16.000","15.640","16.000","15.640","1.27M","1.78%"
"11/14/2022","15.720","15.600","15.720","15.560","449.30K","1.03%"
"11/11/2022","15.560","15.700","15.880","15.420","1.24M","1.04%"
"11/10/2022","15.400","15.280","15.400","15.000","569.80K","0.65%"
"11/09/2022","15.300","15.000","15.300","14.900","607.10K","0.92%"
"11/08/2022","15.160","15.280","15.500","14.880","1.53M","-0.79%"
"11/07/2022","15.280","14.820","15.380","14.820","1.02M","2.55%"
"11/04/2022","14.900","14.900","14.980","14.720","998.30K","0.00%"
"11/03/2022","14.900","14.880","14.900","14.640","798.50K","-1.32%"
"11/02/2022","15.100","14.820","15.100","14.500","2.67M","1.75%"
"10/28/2022","14.840","14.800","14.900","14.740","2.68M","0.95%"
"10/27/2022","14.700","15.100","15.500","14.700","3.68M","-2.00%"
"10/26/2022","15.000","15.180","15.380","15.000","823.40K","0.00%"
"10/25/2022","15.000","15.300","15.400","15.000","1.17M","-1.32%"
"10/24/2022","15.200","15.760","15.760","15.100","3.64M","0.00%"
"10/21/2022","15.200","15.360","15.600","15.200","1.49M","0.00%"
"10/20/2022","15.200","16.180","16.200","15.200","14.32M","-6.75%"
"10/19/2022","16.300","16.600","16.600","16.300","1.33M","-1.81%"
"10/18/2022","16.600","16.320","16.660","16.320","980.50K","1.72%"
"10/17/2022","16.320","16.760","16.760","16.160","816.30K","-2.86%"
"10/14/2022","16.800","15.900","16.800","15.700","4.80M","7.55%"
"10/13/2022","15.620","15.600","15.640","15.500","699.30K","0.00%"
"10/12/2022","15.620","15.880","15.900","15.400","1.24M","-1.64%"
"10/11/2022","15.880","15.520","15.880","15.520","490.80K","2.32%"
"10/10/2022","15.520","16.000","16.200","15.520","1.33M","-3.00%"
"10/07/2022","16.000","16.380","16.380","16.000","111.80K","-2.32%"
"10/06/2022","16.380","16.380","16.480","16.060","323.50K","0.00%"
"10/05/2022","16.380","16.200","16.520","16.180","722.30K","-0.85%"
"10/04/2022","16.520","15.960","16.520","15.820","1.35M","4.56%"
