"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","1.75","1.75","1.75","1.74","9.59M","0.00%"
"04/04/2023","1.75","1.75","1.76","1.74","14.08M","0.00%"
"04/03/2023","1.75","1.76","1.76","1.73","20.55M","-0.57%"
"03/31/2023","1.76","1.76","1.78","1.73","46.03M","-0.56%"
"03/30/2023","1.77","1.77","1.79","1.71","181.70M","0.00%"
"03/29/2023","1.77","1.74","1.78","1.72","70.31M","1.72%"
"03/28/2023","1.74","1.68","1.74","1.59","300.94M","3.57%"
"03/27/2023","1.68","1.70","1.71","1.67","25.15M","-1.18%"
"03/24/2023","1.70","1.68","1.72","1.68","71.32M","1.19%"
"03/23/2023","1.68","1.67","1.69","1.67","20.69M","0.00%"
"03/22/2023","1.68","1.68","1.69","1.66","37.65M","0.00%"
"03/21/2023","1.68","1.67","1.70","1.67","76.24M","0.60%"
"03/20/2023","1.67","1.61","1.67","1.60","177.70M","4.37%"
"03/17/2023","1.60","1.55","1.60","1.54","49.60M","3.23%"
"03/16/2023","1.55","1.56","1.58","1.51","22.00M","0.00%"
"03/15/2023","1.55","1.53","1.58","1.53","65.60M","1.31%"
"03/14/2023","1.53","1.53","1.55","1.50","17.69M","0.00%"
"03/13/2023","1.53","1.50","1.53","1.50","54.44M","2.68%"
"03/10/2023","1.49","1.50","1.52","1.46","29.19M","-1.32%"
"03/09/2023","1.51","1.55","1.56","1.51","14.85M","-2.58%"
"03/08/2023","1.55","1.54","1.58","1.53","40.45M","-0.64%"
"03/07/2023","1.56","1.54","1.57","1.54","48.11M","1.30%"
"03/06/2023","1.54","1.53","1.54","1.52","18.76M","0.65%"
"03/03/2023","1.53","1.53","1.54","1.51","25.64M","0.00%"
"03/02/2023","1.53","1.50","1.55","1.50","54.05M","2.00%"
"03/01/2023","1.50","1.51","1.52","1.50","31.88M","-0.66%"
"02/28/2023","1.51","1.48","1.52","1.45","26.00M","0.67%"
"02/27/2023","1.50","1.56","1.57","1.46","47.52M","-4.46%"
"02/24/2023","1.57","1.58","1.58","1.55","32.42M","0.00%"
"02/23/2023","1.57","1.58","1.58","1.55","32.42M","-0.63%"
"02/22/2023","1.58","1.59","1.60","1.56","23.10M","-0.63%"
"02/21/2023","1.59","1.57","1.59","1.55","50.58M","1.92%"
"02/20/2023","1.56","1.55","1.57","1.54","14.72M","0.65%"
"02/17/2023","1.55","1.56","1.56","1.54","33.11M","-1.27%"
"02/16/2023","1.57","1.56","1.58","1.54","38.53M","0.64%"
"02/15/2023","1.56","1.56","1.59","1.51","37.43M","0.00%"
"02/14/2023","1.56","1.61","1.64","1.55","77.24M","-3.70%"
"02/13/2023","1.62","1.61","1.63","1.60","41.40M","1.25%"
"02/10/2023","1.60","1.59","1.63","1.57","89.49M","0.63%"
"02/09/2023","1.59","1.54","1.60","1.53","139.37M","3.25%"
"02/08/2023","1.54","1.50","1.56","1.49","78.34M","2.67%"
"02/07/2023","1.50","1.54","1.54","1.50","97.70M","-1.96%"
"02/06/2023","1.53","1.41","1.54","1.41","148.75M","8.51%"
"02/03/2023","1.41","1.40","1.41","1.39","14.75M","0.00%"
"02/02/2023","1.41","1.40","1.41","1.39","32.31M","1.44%"
"02/01/2023","1.39","1.34","1.39","1.34","15.36M","3.73%"
"01/31/2023","1.34","1.34","1.34","1.30","37.48M","0.00%"
"01/30/2023","1.34","1.38","1.38","1.33","16.34M","-3.60%"
"01/27/2023","1.39","1.39","1.40","1.36","30.52M","0.00%"
"01/26/2023","1.39","1.40","1.43","1.37","45.68M","1.46%"
"01/25/2023","1.37","1.32","1.37","1.31","52.93M","3.79%"
"01/24/2023","1.32","1.32","1.32","1.31","6.27M","0.00%"
"01/23/2023","1.32","1.32","1.33","1.31","4.48M","0.00%"
"01/20/2023","1.32","1.32","1.32","1.29","16.89M","0.00%"
"01/19/2023","1.32","1.34","1.35","1.32","6.93M","-1.49%"
"01/18/2023","1.34","1.28","1.34","1.27","28.49M","4.69%"
"01/17/2023","1.28","1.29","1.29","1.27","12.38M","-0.78%"
"01/16/2023","1.29","1.28","1.29","1.27","7.35M","0.00%"
"01/13/2023","1.29","1.26","1.29","1.25","5.44M","2.38%"
"01/12/2023","1.26","1.27","1.28","1.26","5.82M","-1.56%"
"01/11/2023","1.28","1.28","1.31","1.27","6.41M","0.79%"
"01/10/2023","1.27","1.28","1.31","1.27","38.12M","-0.78%"
"01/09/2023","1.28","1.26","1.28","1.24","36.92M","1.59%"
"01/06/2023","1.26","1.26","1.28","1.23","15.47M","0.00%"
"01/05/2023","1.26","1.25","1.27","1.24","9.47M","0.80%"
"01/04/2023","1.25","1.22","1.26","1.21","23.15M","4.17%"
"01/03/2023","1.20","1.20","1.21","1.17","13.48M","0.00%"
"12/29/2022","1.20","1.20","1.20","1.17","45.37M","0.00%"
"12/28/2022","1.20","1.22","1.22","1.19","9.58M","-1.64%"
"12/27/2022","1.22","1.23","1.23","1.20","7.19M","-0.81%"
"12/23/2022","1.23","1.22","1.24","1.20","11.09M","0.82%"
"12/22/2022","1.22","1.17","1.23","1.16","35.13M","5.17%"
"12/21/2022","1.16","1.14","1.16","1.11","23.09M","1.75%"
"12/20/2022","1.14","1.06","1.14","1.06","24.76M","5.56%"
"12/19/2022","1.08","1.08","1.08","0.99","74.86M","0.00%"
"12/16/2022","1.08","1.10","1.10","1.06","40.32M","-1.82%"
"12/15/2022","1.10","1.12","1.14","1.08","35.98M","-1.79%"
"12/14/2022","1.12","1.13","1.14","1.10","24.35M","-0.88%"
"12/13/2022","1.13","1.21","1.23","1.03","190.40M","-7.38%"
"12/12/2022","1.22","1.30","1.31","1.22","65.24M","-6.15%"
"12/09/2022","1.30","1.30","1.31","1.29","9.14M","0.00%"
"12/07/2022","1.30","1.28","1.30","1.28","7.29M","0.78%"
"12/06/2022","1.29","1.32","1.34","1.27","42.12M","-3.73%"
"12/05/2022","1.34","1.35","1.36","1.30","26.62M","-0.74%"
"12/02/2022","1.35","1.40","1.41","1.35","45.71M","-4.93%"
"12/01/2022","1.42","1.39","1.42","1.38","19.39M","2.90%"
"11/29/2022","1.38","1.39","1.39","1.37","20.65M","-1.43%"
"11/28/2022","1.40","1.39","1.40","1.36","21.35M","2.19%"
"11/25/2022","1.37","1.34","1.39","1.34","28.09M","1.48%"
"11/24/2022","1.35","1.31","1.35","1.31","23.58M","3.05%"
"11/23/2022","1.31","1.30","1.31","1.29","13.70M","0.77%"
"11/22/2022","1.30","1.31","1.32","1.27","19.85M","-0.76%"
"11/21/2022","1.31","1.35","1.37","1.26","40.67M","-2.96%"
"11/18/2022","1.35","1.34","1.36","1.31","27.70M","3.05%"
"11/17/2022","1.31","1.25","1.31","1.24","29.46M","4.80%"
"11/16/2022","1.25","1.25","1.26","1.23","14.42M","0.81%"
"11/15/2022","1.24","1.20","1.24","1.20","23.58M","3.33%"
"11/14/2022","1.20","1.19","1.20","1.17","10.75M","0.84%"
"11/11/2022","1.19","1.16","1.20","1.16","21.41M","3.48%"
"11/10/2022","1.15","1.16","1.16","1.13","18.79M","-0.86%"
"11/09/2022","1.16","1.18","1.18","1.15","11.81M","-2.52%"
"11/08/2022","1.19","1.17","1.19","1.15","20.86M","1.71%"
"11/07/2022","1.17","1.15","1.17","1.14","7.42M","2.63%"
"11/04/2022","1.14","1.15","1.17","1.14","9.49M","-2.56%"
"11/03/2022","1.17","1.17","1.18","1.15","8.60M","-1.68%"
"11/02/2022","1.19","1.18","1.20","1.16","10.31M","0.00%"
"10/28/2022","1.19","1.19","1.21","1.16","20.49M","0.85%"
"10/27/2022","1.18","1.14","1.20","1.11","69.03M","3.51%"
"10/26/2022","1.14","1.12","1.15","1.12","13.25M","1.79%"
"10/25/2022","1.12","1.15","1.15","1.12","16.95M","-0.88%"
"10/24/2022","1.13","1.13","1.16","1.13","22.90M","-0.88%"
"10/21/2022","1.14","1.12","1.14","1.10","8.64M","0.88%"
"10/20/2022","1.13","1.16","1.16","1.12","14.41M","-1.74%"
"10/19/2022","1.15","1.14","1.17","1.14","15.00M","0.88%"
"10/18/2022","1.14","1.11","1.14","1.11","10.47M","2.70%"
"10/17/2022","1.11","1.10","1.13","1.09","20.43M","-0.89%"
"10/14/2022","1.12","1.10","1.12","1.09","8.66M","3.70%"
"10/13/2022","1.08","1.09","1.10","1.07","3.63M","-0.92%"
"10/12/2022","1.09","1.06","1.10","1.06","15.82M","0.93%"
"10/11/2022","1.08","1.10","1.13","1.05","26.93M","-2.70%"
"10/10/2022","1.11","1.12","1.12","1.09","15.62M","-2.63%"
"10/07/2022","1.14","1.12","1.14","1.10","33.92M","0.00%"
"10/06/2022","1.14","1.16","1.17","1.13","11.74M","-2.56%"
"10/05/2022","1.17","1.17","1.20","1.16","21.76M","1.74%"
"10/04/2022","1.15","1.13","1.16","1.13","23.72M","3.60%"
"10/03/2022","1.11","1.13","1.16","1.09","38.43M","-4.31%"
"09/30/2022","1.16","1.18","1.19","1.12","58.24M","-3.33%"
"09/29/2022","1.20","1.23","1.24","1.20","21.81M","0.00%"
