"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2023","28.550","28.250","28.900","28.250","1.33M","1.06%"
"04/04/2023","28.250","29.000","29.250","27.800","2.47M","-3.58%"
"04/03/2023","29.300","29.000","29.400","28.300","904.40K","-2.33%"
"03/31/2023","30.000","28.250","30.000","28.000","2.82M","6.01%"
"03/30/2023","28.300","27.950","28.650","27.650","754.80K","0.00%"
"03/29/2023","28.300","27.950","28.300","27.900","725.10K","1.07%"
"03/28/2023","28.000","27.850","28.100","27.500","989.20K","0.90%"
"03/27/2023","27.750","27.500","27.950","27.500","714.60K","1.65%"
"03/24/2023","27.300","27.200","27.950","27.200","723.30K","0.55%"
"03/23/2023","27.150","28.000","28.000","27.150","1.59M","-4.06%"
"03/22/2023","28.300","27.450","28.400","27.450","1.58M","3.66%"
"03/21/2023","27.300","27.250","27.750","26.950","2.64M","3.02%"
"03/20/2023","26.500","26.800","27.250","26.400","2.13M","-1.12%"
"03/17/2023","26.800","27.300","27.600","26.700","2.06M","-0.92%"
"03/16/2023","27.050","27.650","28.200","26.850","4.38M","-1.64%"
"03/15/2023","27.500","28.900","28.950","27.500","8.82M","-5.17%"
"03/14/2023","29.000","29.350","29.400","29.000","1.96M","-1.19%"
"03/13/2023","29.350","29.600","29.700","29.250","815.00K","-1.18%"
"03/10/2023","29.700","29.500","29.700","29.250","778.40K","0.68%"
"03/09/2023","29.500","29.650","29.700","29.250","1.18M","-0.51%"
"03/08/2023","29.650","30.700","30.850","29.600","3.18M","-3.42%"
"03/07/2023","30.700","30.950","31.450","30.700","2.85M","-0.81%"
"03/06/2023","30.950","31.600","31.600","30.700","817.90K","-1.90%"
"03/03/2023","31.550","31.000","31.600","30.900","501.60K","0.48%"
"03/02/2023","31.400","30.700","31.400","30.650","1.17M","2.28%"
"03/01/2023","30.700","31.550","31.600","30.650","1.03M","-2.85%"
"02/28/2023","31.600","31.650","31.700","31.200","1.14M","-0.16%"
"02/27/2023","31.650","31.700","31.700","31.050","706.80K","-1.09%"
"02/24/2023","32.000","31.450","32.100","31.250","417.60K","0.00%"
"02/23/2023","32.000","31.450","32.100","31.250","417.60K","1.75%"
"02/22/2023","31.450","32.050","33.000","31.000","2.43M","-1.87%"
"02/21/2023","32.050","32.200","32.700","32.050","194.00K","-1.99%"
"02/20/2023","32.700","32.050","32.950","32.050","129.30K","-0.76%"
"02/17/2023","32.950","32.600","32.950","32.050","130.90K","0.30%"
"02/16/2023","32.850","32.850","32.850","31.850","392.00K","0.00%"
"02/15/2023","32.850","32.000","32.850","31.500","1.32M","2.50%"
"02/14/2023","32.050","33.000","34.000","32.050","1.57M","-2.88%"
"02/13/2023","33.000","32.800","33.200","32.550","4.56M","1.07%"
"02/10/2023","32.650","33.050","33.050","32.500","417.20K","-1.21%"
"02/09/2023","33.050","33.200","33.600","32.600","1.06M","0.92%"
"02/08/2023","32.750","33.200","33.300","32.550","259.60K","0.46%"
"02/07/2023","32.600","32.600","33.500","32.500","1.57M","-1.06%"
"02/06/2023","32.950","32.650","34.000","32.100","2.42M","0.92%"
"02/03/2023","32.650","33.500","33.550","31.650","1.44M","-2.54%"
"02/02/2023","33.500","31.800","33.600","31.500","2.82M","5.35%"
"02/01/2023","31.800","31.950","32.100","31.350","1.38M","-0.47%"
"01/31/2023","31.950","30.900","31.950","30.550","1.95M","3.40%"
"01/30/2023","30.900","31.250","31.300","30.600","849.10K","-1.90%"
"01/27/2023","31.500","32.100","32.100","31.200","1.42M","-1.87%"
"01/26/2023","32.100","32.800","33.450","32.100","1.26M","-1.53%"
"01/25/2023","32.600","33.100","33.500","32.500","1.03M","-2.83%"
"01/24/2023","33.550","34.050","34.050","33.450","1.01M","-1.61%"
"01/23/2023","34.100","34.050","34.300","33.450","1.29M","0.15%"
"01/20/2023","34.050","33.700","34.450","33.700","2.31M","1.64%"
"01/19/2023","33.500","32.400","34.300","32.250","5.80M","3.72%"
"01/18/2023","32.300","31.900","32.850","31.350","1.11M","3.03%"
"01/17/2023","31.350","31.000","31.900","31.000","410.50K","2.79%"
"01/16/2023","30.500","32.200","33.300","30.500","3.25M","-4.98%"
"01/13/2023","32.100","32.000","33.000","31.800","2.35M","0.31%"
"01/12/2023","32.000","30.700","32.600","30.650","7.62M","4.23%"
